query_id,table_id,gold_row,gold_col,in_chunk,rank
4,employment-table01,71,6,0,1000000000
19,employment-table03,1,3,1,2
21,employment-table03,1,7,1,0
31,employment-table05,2,0,1,0
42,employment-table07,2,6,0,1000000000
58,employment-table08,1,0,1,1
58,employment-table08,1,4,1,1000000000
59,employment-table08,30,2,1,1000000000
63,employment-table13,2,7,1,3
69,employment-table14,5,0,1,1000000000
80,employment-table16,0,6,1,0
80,employment-table16,0,9,1,0
83,employment-table17,2,0,1,0
97,employment-table22,0,2,1,0
97,employment-table22,0,5,1,0
103,employment-table21,3,1,1,0
105,employment-table21,5,3,1,0
105,employment-table21,5,5,1,0
105,employment-table21,6,3,1,1000000000
105,employment-table21,7,3,1,1000000000
105,employment-table21,7,5,1,1000000000
105,employment-table21,8,3,1,1000000000
105,employment-table21,9,3,1,1000000000
105,employment-table21,10,3,1,1000000000
105,employment-table21,10,5,1,1000000000
105,employment-table21,11,3,1,1000000000
112,employment-table24,1,1,1,1
112,employment-table24,1,5,1,1
115,employment-table24,1,0,1,16
117,employment-table25,3,5,1,32
121,employment-table26,48,4,0,1000000000
133,economy-table132,1,0,1,2
149,injuries-table03,4,0,1,15
180,productivity-table01,3,0,1,2
190,activitytime-table01,82,0,1,1000000000
201,activitytime-table03,49,4,1,1000000000
201,activitytime-table03,62,0,1,1000000000
202,activitytime-table05,78,1,1,1000000000
207,activitytime-table04,45,5,1,12
260,agriculture-table02,7,1,1,1
260,agriculture-table02,7,2,1,1
266,health-table01,0,1,1,32
268,health-table01,12,0,1,1
271,health-table01,10,1,1,19
272,agriculture-table03,1,5,1,0
326,environment-table03,3,2,1,0
330,environment-table03,5,2,1,1000000000
330,environment-table03,5,3,1,1000000000
330,environment-table03,5,4,1,1000000000
330,environment-table03,14,2,1,1000000000
330,environment-table03,14,3,1,1000000000
330,environment-table03,14,4,1,1000000000
349,education-table03,4,0,1,0
353,education-table04,0,3,1,1
353,education-table04,0,5,1,1
365,education-table06,2,7,1,1000000000
371,education-table07,4,13,1,22
375,education-table08,1,6,1,22
383,education-table10,4,0,1,17
389,education-table11,0,5,1,3
389,education-table11,0,12,1,3
391,education-table12,1,6,1,12
395,economy-table05,42,0,1,1000000000
400,economy-table06,6,0,1,1000000000
410,economy-table08,3,0,1,1
414,economy-table09,9,0,1,1000000000
419,economy-table10,14,0,1,1000000000
424,education-table14,7,0,1,2
424,education-table14,17,10,1,1000000000
430,economy-table12,10,3,1,0
433,economy-table13,6,0,1,1000000000
454,economy-table15,10,11,1,0
464,environment-table04,3,0,1,0
474,economy-table25,0,0,1,0
500,business-table05,0,3,1,0
504,military-table21,19,0,1,9
506,employment-table29,2,2,1,0
513,military-table22,1,14,1,3
525,environment-table06,4,1,1,1000000000
549,business-table06,10,18,1,0
552,business-table07,9,11,1,0
553,business-table07,9,1,1,0
553,business-table07,9,13,1,0
553,business-table07,9,15,1,0
557,employment-table31,12,9,1,1000000000
567,transport-table08,2,0,1,0
567,transport-table08,2,1,1,0
582,society-table85,3,2,1,0
608,labor-table02,7,0,1,5
608,labor-table02,11,0,1,0
622,economy-table31,3,4,1,1
665,economy-table55,0,1,1,0
679,labor-table04,2,1,1,5
680,labor-table04,3,2,1,5
680,labor-table04,4,2,1,1
699,sport-table05,0,12,1,8
702,economy-table36,2,7,1,0
702,economy-table36,3,7,1,1000000000
717,manufacture-table01,26,0,1,1000000000
719,manufacture-table01,3,0,1,1
719,manufacture-table01,63,0,1,1000000000
720,manufacture-table01,28,0,1,1000000000
728,economy-table38,0,4,1,0
728,economy-table38,0,6,1,0
775,economy-table43,37,5,1,1000000000
779,sport-table06,21,6,1,1000000000
803,labor-table12,0,10,0,1000000000
813,labor-table13,0,17,1,1000000000
869,food-table01,2,0,1,0
869,food-table01,9,0,1,0
869,food-table01,11,0,1,0
879,labor-table21,1,13,1,1000000000
888,sport-table07,2,6,1,0
889,sport-table07,4,6,1,1000000000
891,labor-table22,2,0,1,17
909,economy-table61,24,3,1,3
963,manufacture-table12,13,0,1,1000000000
963,manufacture-table12,13,4,1,1000000000
979,labor-table27,6,0,1,3
984,economy-table68,103,0,1,3
985,economy-table68,68,1,1,0
987,economy-table68,5,0,1,0
999,economy-table69,0,2,1,0
1029,health-table12,3,2,1,7
1030,health-table12,3,0,1,9
1061,labor-table33,5,0,1,1
1064,sport-table11,1,2,1,1
1085,sport-table12,6,0,1,0
1085,sport-table12,18,1,1,0
1111,manufacture-table17,58,5,1,1000000000
1143,economy-table81,6,0,1,1
1145,economy-table81,12,0,1,16
1153,economy-table84,0,0,1,0
1212,environment-table16,1,9,1,1000000000
1229,environment-table19,219,0,1,39
1232,environment-table20,20,2,1,1000000000
1233,environment-table20,29,11,1,10
1234,economy-table110,9,9,1,1000000000
1236,economy-table110,6,5,1,1000000000
1237,economy-table110,8,5,1,1000000000
1241,economy-table111,9,3,1,1000000000
1245,economy-table112,13,0,1,1000000000
1277,science-table09,39,9,1,0
1302,science-table16,9,1,1,1
1303,science-table16,13,2,1,1
1304,science-table16,23,0,1,1
1305,science-table16,4,0,1,1000000000
1338,science-table17,6,0,1,1
1339,science-table17,12,1,1,3
1376,society-table25,22,0,1,1
1377,society-table25,10,0,1,1
1378,society-table25,9,0,1,1000000000
1380,society-table27,38,0,1,1000000000
1390,society-table30,12,0,1,2
1407,society-table33,38,0,1,7
1409,society-table33,13,0,1,1000000000
1410,society-table34,6,1,1,4
1426,society-table37,3,0,1,1
1427,society-table37,28,0,1,17
1428,society-table37,49,0,1,1000000000
1430,society-table38,8,13,1,1000000000
1430,society-table38,31,10,1,1000000000
1431,society-table38,0,0,1,20
1432,society-table38,0,0,1,14
1433,society-table38,24,14,1,1000000000
1433,society-table38,25,7,1,1000000000
1435,society-table39,2,1,1,0
1435,society-table39,3,1,1,0
1435,society-table39,6,1,1,0
1435,society-table39,7,1,1,0
1456,society-table44,11,0,1,27
1461,society-table45,8,0,1,1000000000
1462,society-table45,8,0,1,7
1463,society-table45,21,0,1,2
1465,society-table46,13,0,1,1000000000
1467,society-table46,14,0,1,1000000000
