no,doc_uid,first_paragraph_200,company_in_first_paragraph,company_anywhere_first3
1,346b36ad8a164c39abf0438143d90bb1,"Entergy Corporation Notes to Consolidated Financial Statements 73 (a) Consists of pollution control revenue bonds and environmental revenue bonds, certain series of which are secured by non-interest b",Entergy Corporation,Entergy Corporation | JPMorgan Chase & Co.
2,4b176d1ddf0b46f88a231c8e1567b254,"THE GOLDMAN SACHS GROUP, INC. AND SUBSIDIARIES Notes to Consolidated Financial Statements Lending Commitments The firm’s lending commitments are agreements to lend with fixed termination dates and dep","GOLDMAN SACHS GROUP, INC.","GOLDMAN SACHS GROUP, INC. | Sumitomo Mitsui Financial Group, Inc. | PRUDENTIAL FINANCIAL, INC."
3,665bca15a3ff4d2db68f78b80354305d,"The decrease in the yield on interest-earning assets was primarily due to lower rates on new loans and purchased securities in the ongoing low interest rate environment, as well as the impact of highe",,
4,0cf27862c134429f93321a7e5d6726d4,The 2006 impact on the Consolidated Balance Sheet of the purchase price allocations related to the 2006 acquisitions and adjustments relative to other acquisitions within the allocation period were pr,,"Mercury Online Solutions Inc. | Maracay Homes Arizona I, LLC | PSA Composites LLC"
5,4c6964d21bfe4133a151a1301a766681,PLANNED FUTURE ACTIVITIES We plan to open a total of 13 superstores in fiscal 2015 and between 10 and 15 superstores in each of the following two fiscal years.,,"CarMax Auto Superstores California, LLC | CarMax Auto Superstores West Coast, Inc."
6,1071c0e7585e437b92c771f2409d931a,assets resulting from the decrease in the federal tax rate included in the Tax Act and a decrease in the domestic manufacturing deduction primarily resulting from an increase in our 2018 expected disc,,
7,3844331931104ae78ec50a93e55988f4,Unaudited pro forma condensed combined financial information reflecting the Bear Stearns merger and Washington Mutual transaction The following unaudited pro forma condensed combined financial informa,,JPMorgan Chase and First Data Corporation
8,16b1154d3c9c44c4b53e5f79aa6c40fc,Table of Contents primarily to certain undistributed foreign earnings for which no U. S. taxes are provided because such earnings are intended to be indefinitely reinvested outside the U. S. The lower,,S DISCUSSION AND ANALYSIS JPMorgan Chase & Co. | JPMorgan Chase & Co.
9,1000bc270b604afe80fb3a963c46e84a,"The following table summarizes our future estimated cash payments under existing contractual obligations, including payments due by period:",,
10,1708bc95945e43b6bc8822804b840c9a,"Baker Hughes, a GE company Notes to Consolidated and Combined Financial Statements In 2018, the total intrinsic value of RSUs vested (defined as the market value of shares awarded at vesting date) was",,BHGE LLC | CONSOLIDATED FINANCIAL STATEMENTS Union Pacific Corporation | Union Pacific Corporation
11,668dcb0247ac41b6b2d88e12cc9f758d,concentrated among fewer companies.,,
12,06d557aedfdd404997fcea17fc77515a,"Management’s Discussion and Analysis of Financial Condition and Results of Operations – (continued) (Amounts in Millions, Except Per Share Amounts) The effect of foreign exchange rate changes on cash ",,
13,2a867c1fad6743b18edd91050860a2c0,kmt-per-year composed of two prebake potlines) and the full capacity (44 kmt-per-year) at the Fusina smelter in Italy.,,
14,a0f7ce9ca1f74d4cb5c522f0757cd87d,"THE GOLDMAN SACHS GROUP, INC. AND SUBSIDIARIES Management’s Discussion and Analysis Non-Interest Revenues.","GOLDMAN SACHS GROUP, INC.","GOLDMAN SACHS GROUP, INC."
15,2f18664de74742e1b823316f5508d871,Table of Contents PART II Item 5.,,Table of Contents MARKETAXESS HOLDINGS INC.
16,85afb4d24b4e4a719c4bfc8b071499b2,"Albemarle Corporation and Subsidiaries 33 See below for a reconciliation of segment operating profit and segment income, the non-GAAP financial measures, to operating profit and net income attributabl",Albemarle Corporation,Albemarle Corporation | Stannica LLC
17,79de6af931d44b6f8460927514acbbf0,"ADVANCE AUTO PARTS, INC. AND SUBSIDIARIES NOTES TO THE CONSOLIDATED FINANCIAL STATEMENTS December 31, 2011, January 1, 2011 and January 2, 2010 (in thousands, except per share data) F-16 2011-12 super","ADVANCE AUTO PARTS, INC.","ADVANCE AUTO PARTS, INC. | CBRE Group, Inc."
18,29854f0de7e04a8dafa4283eba32f6f5,Management’s discussion and analysis J. P. Morgan Chase & Co. Overview J. P. Morgan Chase & Co. is a leading global financial services firm with assets of $771 billion and operations in more than 50 ,J. P. Morgan Chase & Co. | Overview J. P. Morgan Chase & Co.,J. P. Morgan Chase & Co. | Overview J. P. Morgan Chase & Co. | J. P. Morgan Chase & Co
19,0d091e88ed57486b86d8a562d58ab75b,Table 36 : OREO and Foreclosed Assets,,
20,d5f5d2a55399406aba3b71232a6ce05a,Mitigation and Hedging of Risk Financial institutions’ financial performance is subject to some degree of risk due to changes in interest rates.,,Cadbury India Limited | Mondelez India Foods Private Limited
21,3d56dfdb041f4d10abe1b90207b76cf1,"NOTES to CONSOLIDATED FINANCIAL STATEMENTS 62 On March 28, 2003, the governance, compensation and nominating committee of Xcel Energy’s board of directors granted restricted stock units and performanc",Xcel Energy Inc.,Xcel Energy Inc.
22,733486ae517d44f48b86287186319b93,The following is a summary of stock-based performance award and restricted stock award activity.,,Marathon Oil Corporation
23,0ec2fde34eac4d2081ae9902efa1edeb,Notes to the Consolidated Financial Statements 22.,,Eagle Spinco Inc. | Georgia Gulf Corporation | Axiall Corporation
24,24e7f861ed944819a89252d501fa2f17,"Management’s Discussion and Analysis We believe our credit ratings are primarily based on the credit rating agencies’ assessment of: ‰ Our liquidity, market, credit and operational risk management pra",,
25,2fee9059a6e74f64b4e105f58c12c3df,Working Capital,,"PRUDENTIAL FINANCIAL, INC."
26,1b099234aa084740809129c581c41f5e,Entergy Corporation and Subsidiaries Notes to Financial Statements 114 (a) Consists of pollution control revenue bonds and environmental revenue bonds.,Entergy Corporation,"Entergy Corporation | Entergy Gulf States, Inc. | STATE STREET CORPORATION"
27,0795208db1614778b95ae5577d17e21c,Accounting Quantity The accounting quantity is our estimate of the quantity of airplanes that will be produced for delivery under existing and anticipated contracts.,,"HOST HOTELS & RESORTS, INC."
28,6736a2e1e98d4892a24e69a1aef3a38b,curves adjusted by a renewable factor that incorporates time of day and seasonality factors to reflect accurate renewable energy pricing.,,
29,7dbbcf2b87374ced9436837bc08e53a0,PART II Item 5.,,EXTRA SPACE STORAGE INC.
30,28ecfa7ef9724b7aade303d9ce7bb647,"Aggregate Notional Amounts Associated with Interest Rate Caps in Place As of December 31, 2004 and Interest Rate Detail by Contractual Maturity Dates (In thousands, except percentages)",,
31,135b63b3923b476c883bafe89be88102,ITEM 6.,,"D. R. HORTON, INC."
32,60cd82a663914b479f28e76502190003,"In addition, settlement losses were recorded in 2009, 2008 and 2007 on certain of its domestic and international pension plans.",,"Merck Consumer Pharmaceuticals Company | Astra USA, Inc."
33,6c3a6cb586b442c0bbac0326468a78a6,"ABIOMED, INC. AND SUBSIDIARIES Notes to Consolidated Financial Statements—(Continued) Note 8.","ABIOMED, INC.","ABIOMED, INC. | Entergy Corporation | Cogentrix Energy, Inc."
34,7a8cc16e7e4d45279b710c5da3ad1c1f,"CITIZENS FINANCIAL GROUP, INC. MANAGEMENT’S DISCUSSION AND ANALYSIS 91 Long-term borrowed funds of $12.8 billion as of December 31, 2016 increased $2.9 billion from December 31, 2015, driven by a $2.2","CITIZENS FINANCIAL GROUP, INC.","CITIZENS FINANCIAL GROUP, INC. | VERTEX PHARMACEUTICALS INCORPORATED"
