번호,query_id,질문,기간 있음,사람 (가),(나),조각 수,질문에 모두 있음,모든 조각을 담은 단위 수,정답 단위 포함,검증
1,1cfe50bc54d040b6a2cb89037df508c7,"In the Level where Fair Value for Total assets at December 31, 2014 is the lowest, what's the Fair Value for Other assets at December 31, 2014 ? (in million)",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
2,133c327907d8451186269140c4fe81bc,"What was the total amount of the Book value in the years where Total operating costs and expenses, and other expenses(b greater than 8000? (in million)",아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
3,07a02c082d0b43129fd9272e8ef649b9,What is the growing rate of Adjusted NOI in the years with the least NOI?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
4,d8c42ea9b6f04a348e247b23291bd56e,What is the sum of 4.50% senior notes in 2012 and 2011 forCarrying Value,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
5,560a771e399e488d8d17a7c455cd3bec,"What do all Change in benefit obligation of U.S sum up without those Change in benefit obligation of U.S smaller than 0, in 2003? (in millions)",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
6,bae25480b80f4a029816fde70ae2d34d,Which year is FFO as adjusted applicable to common shares the most?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
7,452c6044fe4b41a19c033be1dff93757,What is the average value of BB+/Ba1 to B-/B3 of Exposure net of all collateral in Table 1 and Derivative receivables in Table 2 in 2014? (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
8,e6dd800ce7a24803ae8794eb332d4f34,What will Total assets reach in Third Quarter 2009 if it continues to grow at its current rate? (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
9,1035d31f39d743f4900a533df63f351f,"what's the total amount of Net periodic benefit cost of Pension 2007, and Unobligated backlog of 2006 ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
10,2ab2ae50672e4cd4a840d2acac7f6ce3,What is the proportion of CASH FLOWS PROVIDED BY OPERATING ACTIVITIES of CBRE to the total in the year showed as table 1?,아니오,예,CBRE,1,예,6,예,아니오
11,88b361a0bb2845c3928a5879ccf532b8,In which year is Market impact of hedges on investments positive?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
12,b670fb9dd1bd4b66a58e926337624602,In which year is Income from continuing operations positive?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
13,5d522944d57c45aa8b2679800a89f9f6,What is the percentage of Commercial in relation to the total in 2011 for PassRated (b)?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
14,54e9346a4cb244d4aa594337780e4769,What's the 50 % of the Total Consolidated Indebtedness at Face Amounts?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
15,2fc1bd254831419380e762123d1bb537,"What is the sum of Private equity/venture capital of December 31, 2018 Thirty Millionor More, and Private equity/venture capital of December 31, 2017 Thirty Millionor More ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
16,fb7965fe7db44a69a04acccb3ffea053,What is the sum of securities in the range of 100 and 10000 in 2016 for average balance? (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
