query_id,question,gold_table_id,gold_table_title,top1_table_id,top1_table_title,gold_rank_cut21,gold_rank_records
0b1861a08ec699c36197279d2a3198a6,what is the proportion of non-vaccinated persons among adults aged 18 to 64 years with no cmc?,2384,"proportion of unvaccinated persons and determinants of non-vaccination for seasonal influenza among canadians aged 18 to 64 without a cc, 2013/2014",2384,"proportion of unvaccinated persons and determinants of non-vaccination for seasonal influenza among canadians aged 18 to 64 without a cc, 2013/2014",21,32
0c221c1ce1ef03c3f187b4c5b5ab7c1d,what are the percentage of the shares for the goods-only?,549,operating locations by firm structure and sector,549,operating locations by firm structure and sector,21,103
16417ec8a3d47e874eeedd059390f099,what are the percentage of the shares for the services-only?,549,operating locations by firm structure and sector,549,operating locations by firm structure and sector,21,74
2441b3f323dbce0c90db4ce4ebcc2183,how many appearances did sergio velazquez make during the 2013-14 primera b nacional season?,560_totto64057-2,"Sergio Velázquez (footballer, born 1990): club",560_totto64057-2,"Sergio Velázquez (footballer, born 1990): club",21,23
2604be07ad31af6c65ecfea00713e54c,"in 2017, how many percent of women in the u.s. civilian college educated population?",144_69_nscg17-ib19300-tab002,"demographic characteristics of civilian college graduates, by sex and veteran status: 2017",144_69_nscg17-ib19300-tab002,"demographic characteristics of civilian college graduates, by sex and veteran status: 2017",21,25
28f3628abf672ac0297baa46b2a6253c,what is the high boundary of percentage of french-speaking people in quebec is projected to be in 2036 ?,1195,"first official language spoken as a percentage of the population, quebec, canada outside quebec and canada, 2011 (estimated) and 2036",1195,"first official language spoken as a percentage of the population, quebec, canada outside quebec and canada, 2011 (estimated) and 2036",21,26
30111d3b2b6ee9afdb8628a42401e76e,what is the averages of income from employment?,460,summary statistics of sample,2610,"profile of economic regions of residence with relatively low and relatively high layoff rates, averages of 2003 to 2013",21,23
35a0ecaadd9c3da2665ed28efe512a50,what is the percentage of in-scope birth records to all census records?,1312,"comparison of cohort and in-scope births, by selected birth and maternal characteristics, canada, 2004 to 2006",1312,"comparison of cohort and in-scope births, by selected birth and maternal characteristics, canada, 2004 to 2006",21,260
38dd34ceca312b80673c5eb605e97dec,"in total, how many games did ian taylor play with 103 goas in league and cup competitions?",6_totto667-0,"Ian Taylor (footballer, born 1968): career statistics",6_totto667-0,"Ian Taylor (footballer, born 1968): career statistics",21,51
3b7e54939c5ce445505a98259ae60dd8,"larus sigurðssonwas transferred to west bromwich albion in 1999, how many appearances did he make for stoke?",447_totto51418-3,Lárus Sigurðsson: club,447_totto51418-3,Lárus Sigurðsson: club,21,141
