query_id,table_id,gold_row,gold_col,in_chunk,rank
4,employment-table01,71,6,1,63
19,employment-table03,1,3,1,10
21,employment-table03,1,7,1,0
31,employment-table05,2,0,1,0
42,employment-table07,2,6,1,0
58,employment-table08,1,0,1,4
58,employment-table08,1,4,1,7
59,employment-table08,30,2,1,309
63,employment-table13,2,7,1,45
69,employment-table14,5,0,1,184
80,employment-table16,0,6,1,12
80,employment-table16,0,9,1,219
83,employment-table17,2,0,1,11
97,employment-table22,0,2,1,3
97,employment-table22,0,5,1,0
103,employment-table21,3,1,1,0
105,employment-table21,5,3,1,1000000000
105,employment-table21,5,5,1,1000000000
105,employment-table21,6,3,1,1000000000
105,employment-table21,7,3,1,1000000000
105,employment-table21,7,5,1,1000000000
105,employment-table21,8,3,1,1000000000
105,employment-table21,9,3,1,1000000000
105,employment-table21,10,3,1,1000000000
105,employment-table21,10,5,1,1000000000
105,employment-table21,11,3,1,1000000000
112,employment-table24,1,1,1,313
112,employment-table24,1,5,1,1000000000
115,employment-table24,1,0,1,290
117,employment-table25,3,5,1,1
121,employment-table26,48,4,1,68
133,economy-table132,1,0,1,27
149,injuries-table03,4,0,1,7
180,productivity-table01,3,0,1,8
190,activitytime-table01,82,0,1,1000000000
201,activitytime-table03,49,4,1,1000000000
201,activitytime-table03,62,0,1,1000000000
202,activitytime-table05,78,1,1,1000000000
207,activitytime-table04,45,5,1,1000000000
260,agriculture-table02,7,1,1,1000000000
260,agriculture-table02,7,2,1,1000000000
266,health-table01,0,1,1,1000000000
268,health-table01,12,0,1,0
271,health-table01,10,1,1,1000000000
272,agriculture-table03,1,5,1,0
326,environment-table03,3,2,1,0
330,environment-table03,5,2,1,1000000000
330,environment-table03,5,3,1,1000000000
330,environment-table03,5,4,1,1000000000
330,environment-table03,14,2,1,1000000000
330,environment-table03,14,3,1,1000000000
330,environment-table03,14,4,1,1000000000
349,education-table03,4,0,1,209
353,education-table04,0,3,1,0
353,education-table04,0,5,1,2
365,education-table06,2,7,1,60
371,education-table07,4,13,1,23
375,education-table08,1,6,1,1000000000
383,education-table10,4,0,1,9
389,education-table11,0,5,1,1000000000
389,education-table11,0,12,1,1000000000
391,education-table12,1,6,1,110
395,economy-table05,42,0,1,28
400,economy-table06,6,0,1,33
410,economy-table08,3,0,1,5
414,economy-table09,9,0,1,41
419,economy-table10,14,0,1,141
424,education-table14,7,0,1,9
424,education-table14,17,10,1,87
430,economy-table12,10,3,1,4
433,economy-table13,6,0,1,19
454,economy-table15,10,11,1,6
464,environment-table04,3,0,1,5
474,economy-table25,0,0,1,0
500,business-table05,0,3,1,0
504,military-table21,19,0,1,1
506,employment-table29,2,2,1,1
513,military-table22,1,14,1,1000000000
525,environment-table06,4,1,1,0
549,business-table06,10,18,1,205
552,business-table07,9,11,1,0
553,business-table07,9,1,1,2
553,business-table07,9,13,1,1
553,business-table07,9,15,1,0
557,employment-table31,12,9,1,1000000000
567,transport-table08,2,0,1,114
567,transport-table08,2,1,1,121
582,society-table85,3,2,1,0
608,labor-table02,7,0,1,54
608,labor-table02,11,0,1,152
622,economy-table31,3,4,1,13
665,economy-table55,0,1,1,0
679,labor-table04,2,1,1,1000000000
680,labor-table04,3,2,1,1000000000
680,labor-table04,4,2,1,1000000000
699,sport-table05,0,12,1,1000000000
702,economy-table36,2,7,1,1000000000
702,economy-table36,3,7,1,1000000000
717,manufacture-table01,26,0,1,125
719,manufacture-table01,3,0,1,1000000000
719,manufacture-table01,63,0,1,275
720,manufacture-table01,28,0,1,194
728,economy-table38,0,4,1,0
728,economy-table38,0,6,1,130
775,economy-table43,37,5,1,0
