dataset,query_id,table_id,gold_row,gold_col,header_path_len,chunk_id,path_elems_present,partial_ratio,full_coverage,chunk_token_len
realhitbench,4,employment-table01,71,6,5,employment-table01::whole,5,1.0,True,3185
realhitbench,19,employment-table03,1,3,6,employment-table03::whole,6,1.0,True,8622
realhitbench,21,employment-table03,1,7,4,employment-table03::whole,4,1.0,True,8622
realhitbench,31,employment-table05,2,0,4,employment-table05::whole,4,1.0,True,1822
realhitbench,42,employment-table07,2,6,5,employment-table07::whole,5,1.0,True,1971
realhitbench,58,employment-table08,1,0,6,employment-table08::whole,6,1.0,True,3090
realhitbench,58,employment-table08,1,4,6,employment-table08::whole,6,1.0,True,3090
realhitbench,59,employment-table08,30,2,7,employment-table08::whole,7,1.0,True,3090
realhitbench,63,employment-table13,2,7,3,employment-table13::whole,3,1.0,True,1736
realhitbench,69,employment-table14,5,0,5,employment-table14::whole,5,1.0,True,1344
realhitbench,80,employment-table16,0,6,6,employment-table16::whole,6,1.0,True,1352
realhitbench,80,employment-table16,0,9,5,employment-table16::whole,5,1.0,True,1352
realhitbench,83,employment-table17,2,0,4,employment-table17::whole,4,1.0,True,2309
realhitbench,97,employment-table22,0,2,4,employment-table22::whole,4,1.0,True,671
realhitbench,97,employment-table22,0,5,4,employment-table22::whole,4,1.0,True,671
realhitbench,103,employment-table21,3,1,4,employment-table21::whole,4,1.0,True,492
realhitbench,105,employment-table21,5,3,4,employment-table21::whole,4,1.0,True,492
realhitbench,105,employment-table21,5,5,4,employment-table21::whole,4,1.0,True,492
realhitbench,105,employment-table21,6,3,4,employment-table21::whole,4,1.0,True,492
realhitbench,105,employment-table21,7,3,4,employment-table21::whole,4,1.0,True,492
realhitbench,105,employment-table21,7,5,4,employment-table21::whole,4,1.0,True,492
realhitbench,105,employment-table21,8,3,4,employment-table21::whole,4,1.0,True,492
realhitbench,105,employment-table21,9,3,4,employment-table21::whole,4,1.0,True,492
realhitbench,105,employment-table21,10,3,4,employment-table21::whole,4,1.0,True,492
realhitbench,105,employment-table21,10,5,4,employment-table21::whole,4,1.0,True,492
realhitbench,105,employment-table21,11,3,4,employment-table21::whole,4,1.0,True,492
realhitbench,112,employment-table24,1,1,5,employment-table24::whole,5,1.0,True,1912
realhitbench,112,employment-table24,1,5,4,employment-table24::whole,4,1.0,True,1912
realhitbench,115,employment-table24,1,0,4,employment-table24::whole,4,1.0,True,1912
realhitbench,117,employment-table25,3,5,3,employment-table25::whole,3,1.0,True,1531
realhitbench,121,employment-table26,48,4,4,employment-table26::whole,4,1.0,True,1716
realhitbench,133,economy-table132,1,0,3,economy-table132::whole,3,1.0,True,1121
realhitbench,149,injuries-table03,4,0,2,injuries-table03::whole,2,1.0,True,5354
realhitbench,180,productivity-table01,3,0,1,productivity-table01::whole,1,1.0,True,1957
realhitbench,190,activitytime-table01,82,0,5,activitytime-table01::whole,5,1.0,True,4567
realhitbench,201,activitytime-table03,49,4,5,activitytime-table03::whole,5,1.0,True,5143
realhitbench,201,activitytime-table03,62,0,5,activitytime-table03::whole,5,1.0,True,5143
realhitbench,202,activitytime-table05,78,1,5,activitytime-table05::whole,5,1.0,True,5196
realhitbench,207,activitytime-table04,45,5,5,activitytime-table04::whole,5,1.0,True,4901
realhitbench,260,agriculture-table02,7,1,3,agriculture-table02::whole,3,1.0,True,501
realhitbench,260,agriculture-table02,7,2,3,agriculture-table02::whole,3,1.0,True,501
realhitbench,266,health-table01,0,1,3,health-table01::whole,3,1.0,True,1147
realhitbench,268,health-table01,12,0,3,health-table01::whole,3,1.0,True,1147
realhitbench,271,health-table01,10,1,4,health-table01::whole,4,1.0,True,1147
realhitbench,272,agriculture-table03,1,5,2,agriculture-table03::whole,2,1.0,True,449
realhitbench,326,environment-table03,3,2,2,environment-table03::whole,2,1.0,True,460
realhitbench,330,environment-table03,5,2,2,environment-table03::whole,2,1.0,True,460
realhitbench,330,environment-table03,5,3,2,environment-table03::whole,2,1.0,True,460
realhitbench,330,environment-table03,5,4,2,environment-table03::whole,2,1.0,True,460
realhitbench,330,environment-table03,14,2,2,environment-table03::whole,2,1.0,True,460
realhitbench,330,environment-table03,14,3,2,environment-table03::whole,2,1.0,True,460
realhitbench,330,environment-table03,14,4,2,environment-table03::whole,2,1.0,True,460
realhitbench,349,education-table03,4,0,1,education-table03::whole,1,1.0,True,4220
realhitbench,353,education-table04,0,3,4,education-table04::whole,4,1.0,True,1861
realhitbench,353,education-table04,0,5,4,education-table04::whole,4,1.0,True,1861
realhitbench,365,education-table06,2,7,2,education-table06::whole,2,1.0,True,10017
realhitbench,371,education-table07,4,13,2,education-table07::whole,2,1.0,True,1300
realhitbench,375,education-table08,1,6,2,education-table08::whole,2,1.0,True,1071
realhitbench,383,education-table10,4,0,2,education-table10::whole,2,1.0,True,1015
realhitbench,389,education-table11,0,5,2,education-table11::whole,2,1.0,True,1076
realhitbench,389,education-table11,0,12,2,education-table11::whole,2,1.0,True,1076
realhitbench,391,education-table12,1,6,2,education-table12::whole,2,1.0,True,1822
realhitbench,395,economy-table05,42,0,3,economy-table05::whole,3,1.0,True,3041
realhitbench,400,economy-table06,6,0,2,economy-table06::whole,2,1.0,True,2313
realhitbench,410,economy-table08,3,0,2,economy-table08::whole,2,1.0,True,1902
realhitbench,414,economy-table09,9,0,2,economy-table09::whole,2,1.0,True,2440
realhitbench,419,economy-table10,14,0,3,economy-table10::whole,3,1.0,True,2360
realhitbench,424,education-table14,7,0,4,education-table14::whole,4,1.0,True,1937
realhitbench,424,education-table14,17,10,4,education-table14::whole,4,1.0,True,1937
realhitbench,430,economy-table12,10,3,3,economy-table12::whole,3,1.0,True,1924
realhitbench,433,economy-table13,6,0,2,economy-table13::whole,2,1.0,True,8423
realhitbench,454,economy-table15,10,11,3,economy-table15::whole,3,1.0,True,771
realhitbench,464,environment-table04,3,0,2,environment-table04::whole,2,1.0,True,4001
realhitbench,474,economy-table25,0,0,2,economy-table25::whole,2,1.0,True,3929
realhitbench,500,business-table05,0,3,5,business-table05::whole,5,1.0,True,4353
realhitbench,504,military-table21,19,0,5,military-table21::whole,5,1.0,True,11006
realhitbench,506,employment-table29,2,2,2,employment-table29::whole,2,1.0,True,1557
realhitbench,513,military-table22,1,14,1,military-table22::whole,1,1.0,True,2965
realhitbench,525,environment-table06,4,1,2,environment-table06::whole,2,1.0,True,1783
realhitbench,549,business-table06,10,18,2,business-table06::whole,2,1.0,True,1321
realhitbench,552,business-table07,9,11,2,business-table07::whole,2,1.0,True,795
realhitbench,553,business-table07,9,1,2,business-table07::whole,2,1.0,True,795
realhitbench,553,business-table07,9,13,2,business-table07::whole,2,1.0,True,795
realhitbench,553,business-table07,9,15,2,business-table07::whole,2,1.0,True,795
realhitbench,557,employment-table31,12,9,4,employment-table31::whole,4,1.0,True,1049
realhitbench,567,transport-table08,2,0,3,transport-table08::whole,3,1.0,True,9150
realhitbench,567,transport-table08,2,1,3,transport-table08::whole,3,1.0,True,9150
realhitbench,582,society-table85,3,2,4,society-table85::whole,4,1.0,True,1140
realhitbench,608,labor-table02,7,0,4,labor-table02::whole,4,1.0,True,818
realhitbench,608,labor-table02,11,0,4,labor-table02::whole,4,1.0,True,818
realhitbench,622,economy-table31,3,4,3,economy-table31::whole,3,1.0,True,371
