번호,query_id,질문 원문,정답 값,정답 표 제목,정답 셀 경로(행 머리글 > 열 머리글),정답 표 파일,1위 셀의 표 제목,1위 셀 경로(행 머리글 > 열 머리글),1위 표 파일,정답 표 제목과 같은 제목의 test 표 수(정답 표 포함),(가) 질문만 보고 정답 표를 특정할 수 있는가(예/아니오),(나) 예라면 근거 단어,(다) 1위 표로도 질문에 답할 수 있는가(예/아니오)
1,00549126c06b99604e8dfb85cc2f7f3f,"in fy 2016, how many thousand dollars was r&d support?",257894.2,"federal obligations for science and engineering to historically black colleges and universities, ranked by total amount received, by type of activity: fy 2016",all hbcus > r&d,judge40_tables/01_00549126c06b99604e8dfb85cc2f7f3f_gold.md,"federal science and engineering obligations, by type of activity: fys 2009-17",constant fy 2012 $millions > 2016 > r&d,judge40_tables/01_00549126c06b99604e8dfb85cc2f7f3f_top1.md,1,,,
2,08147555888ee98eea4891c287470047,how many million dollars did funding for research and development to universities and colleges increase in 2017?,29796.0,"federal science and engineering obligations, by type of activity: fys 2009-17",2017 > r&d,judge40_tables/02_08147555888ee98eea4891c287470047_gold.md,"donor rate and amounts donated to different types of organizations, 2013",total > universities and colleges > total amount donated > millions of dollars,judge40_tables/02_08147555888ee98eea4891c287470047_top1.md,1,,,
3,0a2938b5924faf566b2ccd1061dc1412,how many billion dollars of r&d did companies perform in the united states in 2015?,355821.0,"domestic r&d performed by companies, by core-based statistical areas with at least $1 billion and source of funds: 2015",all locations > total,judge40_tables/03_0a2938b5924faf566b2ccd1061dc1412_gold.md,"business r&d performed in the united states, by source of funds and mnc status: 2008-10",u.s.-located companies > domestic r&d performance > 2009,judge40_tables/03_0a2938b5924faf566b2ccd1061dc1412_top1.md,1,,,
4,0c04b94b7162d791a417ba4fedd934b5,how many yards did michael bishop finish by playing two seasons?,4401.0,Michael Bishop (gridiron football): college statistics,career > passing > yds,judge40_tables/04_0c04b94b7162d791a417ba4fedd934b5_gold.md,"Michael Bishop (gridiron football): nfl, nfle and cfl statistics",125 > passing > yards,judge40_tables/04_0c04b94b7162d791a417ba4fedd934b5_top1.md,1,,,
5,0c863f592b8b2b1612dbded809c4f631,what was the percentage points were they far less likely to be union members?,-0.605,estimated relationship between teacher job characteristics and private high school employment,union membership > regression results > coefficient,judge40_tables/05_0c863f592b8b2b1612dbded809c4f631_gold.md,"participation, employment and unemployment rates of people aged 25 to 54 by aboriginal group and marital status, 2015",unemployment rate > non-aboriginal population > difference > percentage points,judge40_tables/05_0c863f592b8b2b1612dbded809c4f631_top1.md,1,,,
6,226e61021f00e07ff8f3a8db1628ca09,what was the percentage of male ecpas who were from southwest asia and africa?,12.5,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",% distribution > world region > southwest asia and africa > men > economic class principal applicants > total,judge40_tables/06_226e61021f00e07ff8f3a8db1628ca09_gold.md,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",% distribution > source world region > sub-saharan africa > male,judge40_tables/06_226e61021f00e07ff8f3a8db1628ca09_top1.md,1,,,
7,29d407c8491b4c01c5b30be8334536be,"there was a large difference in the proportion of those with a graduate degree, what was the percentage of immigrant owners?",21.9,characteristics of small and medium-sized enterprises and their owners in the study sample,percent > educational attainment > graduate degree > all private-sector smes > immigrant owned,judge40_tables/07_29d407c8491b4c01c5b30be8334536be_gold.md,university completion rates among immigrant parents of second generation groups,second generation groups > chinese > with a university degree > fathers > percent,judge40_tables/07_29d407c8491b4c01c5b30be8334536be_top1.md,1,,,
8,311f95ac77073b7d720b6fabe1e87365,what was the percentage of male ecpas who were from east asia?,30.9,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",% distribution > world region > east asia > men > economic class principal applicants > total,judge40_tables/08_311f95ac77073b7d720b6fabe1e87365_gold.md,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",% distribution > source world region > east asia > male,judge40_tables/08_311f95ac77073b7d720b6fabe1e87365_top1.md,1,,,
9,363f9bb3f74c7ec86026ee4e8707dfb8,"of these individuals, what was the number in the labor force, which includes those employed full time or part time and those actively seeking work?",709700.0,"number in labor force and unemployment rate for scientists and engineers with u.s. doctoral degrees, by field of doctorate: 2001-10",number in labor force > all seh fields > 2010,judge40_tables/09_363f9bb3f74c7ec86026ee4e8707dfb8_gold.md,"employment status of scientists and engineers with u.s. doctoral degrees, by sex, ethnicity, race, and citizenship: 2010",all u.s. seh doctorate holders > in labor force > working for pay or profit > part time,judge40_tables/09_363f9bb3f74c7ec86026ee4e8707dfb8_top1.md,1,,,
10,4c25190668c859cfffef1f14bd69ffe0,what is the probability that individuals are employed in the pre-reform period?,62.9,descriptive statistics,percent > non-pension income > individual has labour income > average,judge40_tables/10_4c25190668c859cfffef1f14bd69ffe0_gold.md,"predicted probability of being employed in a professional or managerial occupation by skill level and selected aboriginal identity group, 2012",predicted probability > higher skill level > non-aboriginal > literacy > model 1,judge40_tables/10_4c25190668c859cfffef1f14bd69ffe0_top1.md,1,,,
