dataset,query_id,table_id,gold_row,gold_col,header_path_len,chunk_id,path_elems_present,partial_ratio,full_coverage,chunk_token_len
realhitbench,4,employment-table01,71,6,5,employment-table01::cell::71:6,5,1.0,True,61
realhitbench,19,employment-table03,1,3,6,employment-table03::cell::1:3,6,1.0,True,20
realhitbench,21,employment-table03,1,7,4,employment-table03::cell::1:7,4,1.0,True,18
realhitbench,31,employment-table05,2,0,4,employment-table05::cell::2:0,4,1.0,True,14
realhitbench,42,employment-table07,2,6,5,employment-table07::cell::2:6,5,1.0,True,72
realhitbench,58,employment-table08,1,0,6,employment-table08::cell::1:0,6,1.0,True,66
realhitbench,58,employment-table08,1,4,6,employment-table08::cell::1:4,6,1.0,True,66
realhitbench,59,employment-table08,30,2,7,employment-table08::cell::30:2,7,1.0,True,76
realhitbench,63,employment-table13,2,7,3,employment-table13::cell::2:7,3,1.0,True,47
realhitbench,69,employment-table14,5,0,5,employment-table14::cell::5:0,5,1.0,True,25
realhitbench,80,employment-table16,0,6,6,employment-table16::cell::0:6,6,1.0,True,33
realhitbench,80,employment-table16,0,9,5,employment-table16::cell::0:9,5,1.0,True,32
realhitbench,83,employment-table17,2,0,4,employment-table17::cell::2:0,4,1.0,True,52
realhitbench,97,employment-table22,0,2,4,employment-table22::cell::0:2,4,1.0,True,74
realhitbench,97,employment-table22,0,5,4,employment-table22::cell::0:5,4,1.0,True,78
realhitbench,103,employment-table21,3,1,4,employment-table21::cell::3:1,4,1.0,True,18
realhitbench,105,employment-table21,5,3,4,employment-table21::cell::5:3,4,1.0,True,17
realhitbench,105,employment-table21,5,5,4,employment-table21::cell::5:5,4,1.0,True,21
realhitbench,105,employment-table21,6,3,4,employment-table21::cell::6:3,4,1.0,True,17
realhitbench,105,employment-table21,7,3,4,employment-table21::cell::7:3,4,1.0,True,17
realhitbench,105,employment-table21,7,5,4,employment-table21::cell::7:5,4,1.0,True,21
realhitbench,105,employment-table21,8,3,4,employment-table21::cell::8:3,4,1.0,True,15
realhitbench,105,employment-table21,9,3,4,employment-table21::cell::9:3,4,1.0,True,17
realhitbench,105,employment-table21,10,3,4,employment-table21::cell::10:3,4,1.0,True,17
realhitbench,105,employment-table21,10,5,4,employment-table21::cell::10:5,4,1.0,True,21
realhitbench,105,employment-table21,11,3,4,employment-table21::cell::11:3,4,1.0,True,17
realhitbench,112,employment-table24,1,1,5,employment-table24::cell::1:1,5,1.0,True,76
realhitbench,112,employment-table24,1,5,4,employment-table24::cell::1:5,4,1.0,True,74
realhitbench,115,employment-table24,1,0,4,employment-table24::cell::1:0,4,1.0,True,73
realhitbench,117,employment-table25,3,5,3,employment-table25::cell::3:5,3,1.0,True,17
realhitbench,121,employment-table26,48,4,4,employment-table26::cell::48:4,4,1.0,True,45
realhitbench,133,economy-table132,1,0,3,economy-table132::cell::1:0,3,1.0,True,60
realhitbench,149,injuries-table03,4,0,2,injuries-table03::cell::4:0,2,1.0,True,44
realhitbench,180,productivity-table01,3,0,1,productivity-table01::cell::3:0,1,1.0,True,8
realhitbench,190,activitytime-table01,82,0,5,activitytime-table01::cell::82:0,5,1.0,True,94
realhitbench,201,activitytime-table03,49,4,5,activitytime-table03::cell::49:4,5,1.0,True,86
realhitbench,201,activitytime-table03,62,0,5,activitytime-table03::cell::62:0,5,1.0,True,84
realhitbench,202,activitytime-table05,78,1,5,activitytime-table05::cell::78:1,5,1.0,True,84
realhitbench,207,activitytime-table04,45,5,5,activitytime-table04::cell::45:5,5,1.0,True,35
realhitbench,260,agriculture-table02,7,1,3,agriculture-table02::cell::7:1,3,1.0,True,11
realhitbench,260,agriculture-table02,7,2,3,agriculture-table02::cell::7:2,3,1.0,True,13
realhitbench,266,health-table01,0,1,3,health-table01::cell::0:1,3,1.0,True,10
realhitbench,268,health-table01,12,0,3,health-table01::cell::12:0,3,1.0,True,10
realhitbench,271,health-table01,10,1,4,health-table01::cell::10:1,4,1.0,True,13
realhitbench,272,agriculture-table03,1,5,2,agriculture-table03::cell::1:5,2,1.0,True,45
realhitbench,326,environment-table03,3,2,2,environment-table03::cell::3:2,2,1.0,True,10
realhitbench,330,environment-table03,5,2,2,environment-table03::cell::5:2,2,1.0,True,8
realhitbench,330,environment-table03,5,3,2,environment-table03::cell::5:3,2,1.0,True,9
realhitbench,330,environment-table03,5,4,2,environment-table03::cell::5:4,2,1.0,True,8
realhitbench,330,environment-table03,14,2,2,environment-table03::cell::14:2,2,1.0,True,8
realhitbench,330,environment-table03,14,3,2,environment-table03::cell::14:3,2,1.0,True,9
realhitbench,330,environment-table03,14,4,2,environment-table03::cell::14:4,2,1.0,True,8
realhitbench,349,education-table03,4,0,1,education-table03::cell::4:0,1,1.0,True,75
realhitbench,353,education-table04,0,3,4,education-table04::cell::0:3,4,1.0,True,58
realhitbench,353,education-table04,0,5,4,education-table04::cell::0:5,4,1.0,True,57
realhitbench,365,education-table06,2,7,2,education-table06::cell::2:7,2,1.0,True,11
realhitbench,371,education-table07,4,13,2,education-table07::cell::4:13,2,1.0,True,37
realhitbench,375,education-table08,1,6,2,education-table08::cell::1:6,2,1.0,True,40
realhitbench,383,education-table10,4,0,2,education-table10::cell::4:0,2,1.0,True,9
realhitbench,389,education-table11,0,5,2,education-table11::cell::0:5,2,1.0,True,38
realhitbench,389,education-table11,0,12,2,education-table11::cell::0:12,2,1.0,True,38
realhitbench,391,education-table12,1,6,2,education-table12::cell::1:6,2,1.0,True,41
realhitbench,395,economy-table05,42,0,3,economy-table05::cell::42:0,3,1.0,True,59
realhitbench,400,economy-table06,6,0,2,economy-table06::cell::6:0,2,1.0,True,53
realhitbench,410,economy-table08,3,0,2,economy-table08::cell::3:0,2,1.0,True,14
realhitbench,414,economy-table09,9,0,2,economy-table09::cell::9:0,2,1.0,True,51
realhitbench,419,economy-table10,14,0,3,economy-table10::cell::14:0,3,1.0,True,71
realhitbench,424,education-table14,7,0,4,education-table14::cell::7:0,4,1.0,True,60
realhitbench,424,education-table14,17,10,4,education-table14::cell::17:10,4,1.0,True,62
realhitbench,430,economy-table12,10,3,3,economy-table12::cell::10:3,3,1.0,True,32
realhitbench,433,economy-table13,6,0,2,economy-table13::cell::6:0,2,1.0,True,8
realhitbench,454,economy-table15,10,11,3,economy-table15::cell::10:11,3,1.0,True,31
realhitbench,464,environment-table04,3,0,2,environment-table04::cell::3:0,2,1.0,True,24
realhitbench,474,economy-table25,0,0,2,economy-table25::cell::0:0,2,1.0,True,33
realhitbench,500,business-table05,0,3,5,business-table05::cell::0:3,5,1.0,True,59
realhitbench,504,military-table21,19,0,5,military-table21::cell::19:0,5,1.0,True,33
realhitbench,506,employment-table29,2,2,2,employment-table29::cell::2:2,2,1.0,True,35
realhitbench,513,military-table22,1,14,1,military-table22::cell::1:14,1,1.0,True,25
realhitbench,525,environment-table06,4,1,2,environment-table06::cell::4:1,2,1.0,True,39
realhitbench,549,business-table06,10,18,2,business-table06::cell::10:18,2,1.0,True,19
realhitbench,552,business-table07,9,11,2,business-table07::cell::9:11,2,1.0,True,20
realhitbench,553,business-table07,9,1,2,business-table07::cell::9:1,2,1.0,True,21
realhitbench,553,business-table07,9,13,2,business-table07::cell::9:13,2,1.0,True,21
realhitbench,553,business-table07,9,15,2,business-table07::cell::9:15,2,1.0,True,21
realhitbench,557,employment-table31,12,9,4,employment-table31::cell::12:9,4,1.0,True,16
realhitbench,567,transport-table08,2,0,3,transport-table08::cell::2:0,3,1.0,True,25
realhitbench,567,transport-table08,2,1,3,transport-table08::cell::2:1,3,1.0,True,25
realhitbench,582,society-table85,3,2,4,society-table85::cell::3:2,4,1.0,True,71
realhitbench,608,labor-table02,7,0,4,labor-table02::cell::7:0,4,1.0,True,20
realhitbench,608,labor-table02,11,0,4,labor-table02::cell::11:0,4,1.0,True,19
