dataset,query_id,table_id,gold_row,gold_col,header_path_len,chunk_id,path_elems_present,partial_ratio,full_coverage,chunk_token_len
realhitbench,4,employment-table01,71,6,5,NOT_IN_ANY_CHUNK,0,0.0,False,0
realhitbench,19,employment-table03,1,3,6,employment-table03::fixed256::0,6,1.0,True,256
realhitbench,21,employment-table03,1,7,4,employment-table03::fixed256::0,4,1.0,True,256
realhitbench,31,employment-table05,2,0,4,employment-table05::fixed256::0,4,1.0,True,256
realhitbench,42,employment-table07,2,6,5,NOT_IN_ANY_CHUNK,0,0.0,False,0
realhitbench,58,employment-table08,1,0,6,employment-table08::fixed256::0,6,1.0,True,256
realhitbench,58,employment-table08,1,4,6,employment-table08::fixed256::1,0,0.0,False,256
realhitbench,59,employment-table08,30,2,7,employment-table08::fixed256::4,2,0.2857142857142857,False,256
realhitbench,63,employment-table13,2,7,3,employment-table13::fixed256::0,3,1.0,True,256
realhitbench,69,employment-table14,5,0,5,employment-table14::fixed256::0,5,1.0,True,256
realhitbench,80,employment-table16,0,6,6,employment-table16::fixed256::0,6,1.0,True,256
realhitbench,80,employment-table16,0,9,5,employment-table16::fixed256::0,5,1.0,True,256
realhitbench,83,employment-table17,2,0,4,employment-table17::fixed256::0,4,1.0,True,256
realhitbench,97,employment-table22,0,2,4,employment-table22::fixed256::0,4,1.0,True,256
realhitbench,97,employment-table22,0,5,4,employment-table22::fixed256::0,4,1.0,True,256
realhitbench,103,employment-table21,3,1,4,employment-table21::fixed256::0,4,1.0,True,256
realhitbench,105,employment-table21,5,3,4,employment-table21::fixed256::0,4,1.0,True,256
realhitbench,105,employment-table21,5,5,4,employment-table21::fixed256::0,4,1.0,True,256
realhitbench,105,employment-table21,6,3,4,employment-table21::fixed256::1,0,0.0,False,236
realhitbench,105,employment-table21,7,3,4,employment-table21::fixed256::1,1,0.25,False,236
realhitbench,105,employment-table21,7,5,4,employment-table21::fixed256::1,1,0.25,False,236
realhitbench,105,employment-table21,8,3,4,employment-table21::fixed256::1,1,0.25,False,236
realhitbench,105,employment-table21,9,3,4,employment-table21::fixed256::1,1,0.25,False,236
realhitbench,105,employment-table21,10,3,4,employment-table21::fixed256::1,1,0.25,False,236
realhitbench,105,employment-table21,10,5,4,employment-table21::fixed256::1,1,0.25,False,236
realhitbench,105,employment-table21,11,3,4,employment-table21::fixed256::1,1,0.25,False,236
realhitbench,112,employment-table24,1,1,5,employment-table24::fixed256::0,5,1.0,True,256
realhitbench,112,employment-table24,1,5,4,employment-table24::fixed256::0,4,1.0,True,256
realhitbench,115,employment-table24,1,0,4,employment-table24::fixed256::0,4,1.0,True,256
realhitbench,117,employment-table25,3,5,3,employment-table25::fixed256::1,0,0.0,False,256
realhitbench,121,employment-table26,48,4,4,NOT_IN_ANY_CHUNK,0,0.0,False,0
realhitbench,133,economy-table132,1,0,3,economy-table132::fixed256::0,3,1.0,True,256
realhitbench,149,injuries-table03,4,0,2,injuries-table03::fixed256::0,2,1.0,True,256
realhitbench,180,productivity-table01,3,0,1,productivity-table01::fixed256::0,1,1.0,True,256
realhitbench,190,activitytime-table01,82,0,5,activitytime-table01::fixed256::14,1,0.2,False,256
realhitbench,201,activitytime-table03,49,4,5,activitytime-table03::fixed256::9,1,0.2,False,256
realhitbench,201,activitytime-table03,62,0,5,activitytime-table03::fixed256::11,1,0.2,False,256
realhitbench,202,activitytime-table05,78,1,5,activitytime-table05::fixed256::13,1,0.2,False,256
realhitbench,207,activitytime-table04,45,5,5,activitytime-table04::fixed256::8,1,0.2,False,256
