experiment,model,split,qid,condition,correct,got_gold,pred,gold
interaction,llama-8b,flat,1-2618152-1,flat_values,1,1,E0214,['E0214']
interaction,llama-8b,flat,1-2618152-1,flat_leaf,1,1,E0214,['E0214']
interaction,llama-8b,flat,1-2618152-1,header_path,1,1,E0214,['E0214']
interaction,llama-8b,flat,1-11964047-5,flat_values,1,1,93–113,['L 93–113']
interaction,llama-8b,flat,1-11964047-5,flat_leaf,1,1,L 93–113,['L 93–113']
interaction,llama-8b,flat,1-11964047-5,header_path,1,1,L 93–113,['L 93–113']
interaction,llama-8b,flat,2-17371250-13,flat_values,1,1,Kelowna Rockets ( WHL ),['Kelowna Rockets ( WHL )']
interaction,llama-8b,flat,2-17371250-13,flat_leaf,1,1,Kelowna Rockets ( WHL ),['Kelowna Rockets ( WHL )']
interaction,llama-8b,flat,2-17371250-13,header_path,1,1,Kelowna Rockets ( WHL ),['Kelowna Rockets ( WHL )']
interaction,llama-8b,flat,2-17562992-3,flat_values,1,1,23,['23.0']
interaction,llama-8b,flat,2-17562992-3,flat_leaf,1,1,23,['23.0']
interaction,llama-8b,flat,2-17562992-3,header_path,1,1,23,['23.0']
interaction,llama-8b,flat,2-107642-1,flat_values,0,1,There is not enough information to answe,['30%']
interaction,llama-8b,flat,2-107642-1,flat_leaf,0,1,39%,['30%']
interaction,llama-8b,flat,2-107642-1,header_path,1,1,30%,['30%']
interaction,llama-8b,flat,2-18283614-1,flat_values,1,1,4th,['4th']
interaction,llama-8b,flat,2-18283614-1,flat_leaf,1,1,4th,['4th']
interaction,llama-8b,flat,2-18283614-1,header_path,1,1,4th,['4th']
interaction,llama-8b,flat,2-1795208-8,flat_values,0,1,There is no information about Shaun Murp,['Winner']
interaction,llama-8b,flat,2-1795208-8,flat_leaf,0,1,Runner-up,['Winner']
interaction,llama-8b,flat,2-1795208-8,header_path,0,1,Runner-up,['Winner']
interaction,llama-8b,flat,2-16405998-1,flat_values,1,1,Snitz Snider Stadium,['Snitz Snider Stadium']
interaction,llama-8b,flat,2-16405998-1,flat_leaf,1,1,Snitz Snider Stadium,['Snitz Snider Stadium']
interaction,llama-8b,flat,2-16405998-1,header_path,1,1,Snitz Snider Stadium,['Snitz Snider Stadium']
interaction,llama-8b,flat,2-17264629-1,flat_values,1,1,"1,123",['1123.0']
interaction,llama-8b,flat,2-17264629-1,flat_leaf,1,1,"1,123",['1123.0']
interaction,llama-8b,flat,2-17264629-1,header_path,1,1,"1,123",['1123.0']
interaction,llama-8b,flat,1-11884814-3,flat_values,1,1,9.52,['9.40']
interaction,llama-8b,flat,1-11884814-3,flat_leaf,1,1,9.40,['9.40']
interaction,llama-8b,flat,1-11884814-3,header_path,1,1,9.40,['9.40']
interaction,llama-8b,flat,2-18624168-2,flat_values,1,1,Munich,['Munich']
interaction,llama-8b,flat,2-18624168-2,flat_leaf,1,1,Munich,['Munich']
interaction,llama-8b,flat,2-18624168-2,header_path,1,1,Munich,['Munich']
interaction,llama-8b,flat,1-1341604-10,flat_values,0,1,74.2%,['Re-elected']
interaction,llama-8b,flat,1-1341604-10,flat_leaf,1,1,Re-elected,['Re-elected']
interaction,llama-8b,flat,1-1341604-10,header_path,1,1,Re-elected,['Re-elected']
interaction,llama-8b,flat,2-15125204-1,flat_values,1,1,Insomar,"['Insomar', 'CSOP']"
interaction,llama-8b,flat,2-15125204-1,flat_leaf,1,1,CSOP,"['Insomar', 'CSOP']"
interaction,llama-8b,flat,2-15125204-1,header_path,1,1,CSOP,"['Insomar', 'CSOP']"
