query_id,gold_rank,esm,gold_table,gold_row,gold_col,top1_table,top1_row,top1_col,error_class
00549126c06b99604e8dfb85cc2f7f3f,251,0,151_72_tab3,0,1,106_55_fs17-ib-19314-tab001,16,1,wrong_table
00803c36f0199f9bce904fac68db66c2,1,1,144_69_nscg17-ib19300-tab002,3,4,144_69_nscg17-ib19300-tab002,3,4,exact_match
00b61cc5439989b3092d38892bad9857,1,1,358,47,2,358,47,2,exact_match
00d47c9aac5050539645dcae34f78570,1,1,2613,21,4,2613,21,4,exact_match
00d7a4e4b65ec4c28d61938772ea74cf,5,0,1516,41,2,1516,41,0,wrong_column
01ce71c3b86e4524dab2b41c7af72e6c,1,1,209_99_tab3,6,4,209_99_tab3,6,4,exact_match
022faef43c2d5f631f5d83e9e75f346a,6,0,231_totto26510-4,2,5,231_totto26510-4,2,4,wrong_column
026d4b2395bfabf7a254b5d84b9ee1f0,3,0,1312,2,2,1312,2,4,wrong_column
02dee9364e18e5cc338b46a5e992d2ad,1,1,223,10,0,223,10,0,exact_match
030333fec48bb883d822295e4e6a18f1,1,1,1291,2,3,1291,2,3,exact_match
0356b78121f0b07f8c238533de6d8957,1,1,133_64_sdr17-ib-19307-tab003,6,9,133_64_sdr17-ib-19307-tab003,6,9,exact_match
03a65e7848f82fcbff091b76cac5afc1,1,1,2613,13,0,2613,13,0,exact_match
03c9e16805ea51611fa700eb5fdd6680,3,0,729,5,0,729,7,0,wrong_row
04161feb4413260cf720dd6196ebee32,1,1,502_totto57483-4,3,0,502_totto57483-4,3,0,exact_match
04572d818fcfa7491d9d7f539d40482d,1,1,2769,0,2,2769,0,2,exact_match
04587ca45265fc06f3eec539e134096d,1,1,246,6,1,246,6,1,exact_match
0465428e164c8dfb486a83a89e5f4f65,3,0,1004,2,3,895,9,4,wrong_table
04912d50252c088bdef7ddf5ce296846,1,1,1644,11,3,1644,11,3,exact_match
054a1a4094d78187adc8be002c050889,1,1,170_totto20194-1,1,3,170_totto20194-1,1,3,exact_match
05961a45ddb856886b4d7151ee4e303c,1,1,65_20_nsf20316-tab001,2,1,65_20_nsf20316-tab001,2,1,exact_match
0654a77661a60c1aff6387ff4574abab,1,1,1902,1,0,1902,1,0,exact_match
068e85ed06c5b22bb4aeb913e8e1d4f2,1,1,102_53_nsf19315-tab001,9,1,102_53_nsf19315-tab001,9,1,exact_match
