query_id,table_id,gold_row,gold_col,group,hit@10,hit@50
4,employment-table01,71,6,full,0,0
19,employment-table03,1,3,full,0,1
21,employment-table03,1,7,full,1,1
31,employment-table05,2,0,full,1,1
42,employment-table07,2,6,full,1,1
58,employment-table08,1,0,full,1,1
58,employment-table08,1,4,full,1,1
59,employment-table08,30,2,full,0,0
63,employment-table13,2,7,full,0,1
69,employment-table14,5,0,full,0,0
80,employment-table16,0,6,full,0,1
80,employment-table16,0,9,full,0,0
83,employment-table17,2,0,full,0,1
97,employment-table22,0,2,full,1,1
97,employment-table22,0,5,full,1,1
103,employment-table21,3,1,full,1,1
105,employment-table21,5,3,full,0,0
105,employment-table21,5,5,full,0,0
105,employment-table21,6,3,full,0,0
105,employment-table21,7,3,full,0,0
105,employment-table21,7,5,full,0,0
105,employment-table21,8,3,full,0,0
105,employment-table21,9,3,full,0,0
105,employment-table21,10,3,full,0,0
105,employment-table21,10,5,full,0,0
105,employment-table21,11,3,full,0,0
112,employment-table24,1,1,full,0,0
112,employment-table24,1,5,full,0,0
115,employment-table24,1,0,full,0,0
117,employment-table25,3,5,full,1,1
121,employment-table26,48,4,full,0,0
133,economy-table132,1,0,full,0,1
149,injuries-table03,4,0,full,1,1
180,productivity-table01,3,0,full,1,1
190,activitytime-table01,82,0,full,0,0
201,activitytime-table03,49,4,full,0,0
201,activitytime-table03,62,0,full,0,0
202,activitytime-table05,78,1,full,0,0
207,activitytime-table04,45,5,full,0,0
260,agriculture-table02,7,1,full,0,0
260,agriculture-table02,7,2,full,0,0
266,health-table01,0,1,full,0,0
268,health-table01,12,0,full,1,1
271,health-table01,10,1,full,0,0
272,agriculture-table03,1,5,full,1,1
326,environment-table03,3,2,full,1,1
330,environment-table03,5,2,full,0,0
330,environment-table03,5,3,full,0,0
330,environment-table03,5,4,full,0,0
330,environment-table03,14,2,full,0,0
330,environment-table03,14,3,full,0,0
330,environment-table03,14,4,full,0,0
349,education-table03,4,0,full,0,0
353,education-table04,0,3,full,1,1
353,education-table04,0,5,full,1,1
365,education-table06,2,7,full,0,0
371,education-table07,4,13,full,0,1
375,education-table08,1,6,full,0,0
