dataset,query_id,table_id,gold_row,gold_col,header_path_len,chunk_id,path_elems_present,partial_ratio,full_coverage,chunk_token_len
hitab,c2b81f5d14fdb3e2fdf26b9edce41a48,45,1,2,3,45::fixed1024::0,3,1.0,True,143
hitab,cf7350a803fc801feb1441749ce5796e,2016,5,0,5,2016::fixed1024::0,5,1.0,True,599
hitab,3d7c4f7075f28af9067bd83d1ebe246c,123,4,8,3,123::fixed1024::0,3,1.0,True,679
hitab,ad07b2f51198338df680eb17e30f6a5d,2395,1,1,4,2395::fixed1024::0,4,1.0,True,989
hitab,a81cf41df14b8f08ca3bae232307bafd,432,7,3,5,432::fixed1024::0,5,1.0,True,379
hitab,aa633aaf24bafdc4821491dce11c0ca8,1497,1,2,4,1497::fixed1024::0,4,1.0,True,1024
hitab,2457564944ed87b117b599d5083e7f08,248_totto28136-4,5,7,4,248_totto28136-4::fixed1024::0,4,1.0,True,636
hitab,0f4cda9887ce6a9893399edb4174f489,2301,2,4,5,2301::fixed1024::0,5,1.0,True,130
hitab,8530727ca6e8b31bc5299f779bed5b02,1335,9,2,5,1335::fixed1024::0,5,1.0,True,331
hitab,396c85c26f691530b03841a23f9e13ce,1782,26,13,3,1782::fixed1024::1,1,0.3333333333333333,False,825
hitab,429a4f62f6527de1650b1e7eb643fff7,296,4,0,4,296::fixed1024::0,4,1.0,True,1024
hitab,45981f2b4ba3af7ae0f22afb36e4c06d,15_117_tab2,4,1,2,15_117_tab2::fixed1024::0,2,1.0,True,91
hitab,4c21d01db20a0f17c81ce34a4c7ab317,675,1,4,5,675::fixed1024::0,5,1.0,True,613
hitab,983d86fbf04033ec89dd77b2d1382d36,344,4,3,3,344::fixed1024::0,3,1.0,True,319
hitab,98f3f70da137fd82e662bd2a3da3c1b3,163_81_tab2,5,0,3,163_81_tab2::fixed1024::0,3,1.0,True,1024
hitab,f7c39d933af7df7429851768bd782b8a,2111,13,4,4,2111::fixed1024::0,4,1.0,True,461
hitab,58ffb31b4a6c9fa7241722e671be1033,2754,0,5,4,2754::fixed1024::0,4,1.0,True,505
hitab,97332725a140af38960fde799071b926,2111,15,1,4,2111::fixed1024::0,4,1.0,True,461
hitab,fda324107e648d478914ec7295e448fd,2754,4,4,4,2754::fixed1024::0,4,1.0,True,505
