query_id,gold_rank,unknown_rank_original_scan,esm,gold_table,gold_row,gold_col,top1_table,top1_row,top1_col,same_table,same_row,same_col,error_class,gold_row_path,gold_col_path,top1_row_path,top1_col_path,dense_score_gold,dense_score_top1,margin_dense,hybrid_score_gold,hybrid_score_top1,margin_hybrid
00549126c06b99604e8dfb85cc2f7f3f,180,0,0,151_72_tab3,0,1,106_55_fs17-ib-19314-tab001,16,1,0,0,0,wrong_table,all hbcus,r&d,constant fy 2012 $millions > 2016,r&d,0.607454,0.667131,0.059677,0.82242,0.9459,0.12348
00803c36f0199f9bce904fac68db66c2,1,0,1,144_69_nscg17-ib19300-tab002,3,4,144_69_nscg17-ib19300-tab002,3,4,1,1,1,exact_match,"race and ethnicity > black, non-hispanic",women > veteran,"race and ethnicity > black, non-hispanic",women > veteran,0.717796,0.717796,0.0,0.899908,0.899908,0.0
00b61cc5439989b3092d38892bad9857,4,0,0,358,47,2,1967,32,2,0,0,0,wrong_table,"victoria, b.c","police officers > 2017 police officers per 100,000 population > rate",victoria,total crime > percent change in rate 2007 to 2017,0.738707,0.753137,0.014429,0.975953,0.981232,0.005279
00d47c9aac5050539645dcae34f78570,1,0,1,2613,21,4,2613,21,4,1,1,1,exact_match,"percent > household income > $150,000",hockey,"percent > household income > $150,000",hockey,0.786861,0.786861,0.0,1.0,1.0,0.0
00d7a4e4b65ec4c28d61938772ea74cf,6,0,0,1516,41,2,1516,41,0,1,1,0,wrong_column,millions of dollars > 2015 > exports,average revision,millions of dollars > 2015 > exports,revised average level,0.702563,0.75869,0.056126,0.831255,1.0,0.168745
01ce71c3b86e4524dab2b41c7af72e6c,1,0,1,209_99_tab3,6,4,209_99_tab3,6,4,1,1,1,exact_match,united statesa > pennsylvania,health,united statesa > pennsylvania,health,0.773801,0.773801,0.0,1.0,1.0,0.0
022faef43c2d5f631f5d83e9e75f346a,1,0,1,231_totto26510-4,2,5,231_totto26510-4,2,5,1,1,1,exact_match,career,passing > td,career,passing > td,0.667657,0.667657,0.0,1.0,1.0,0.0
026d4b2395bfabf7a254b5d84b9ee1f0,4,0,0,1312,2,2,1312,2,4,1,1,0,wrong_column,type of birth > surviving to age 1,linkage rate > %,type of birth > surviving to age 1,birth-census cohort > % distribution,0.673812,0.699077,0.025265,0.961689,0.992373,0.030684
02dee9364e18e5cc338b46a5e992d2ad,1,0,1,223,10,0,223,10,0,1,1,1,exact_match,hours utilitarian walking per week > less than 1,total > number or %,hours utilitarian walking per week > less than 1,total > number or %,0.655235,0.655235,0.0,1.0,1.0,0.0
030333fec48bb883d822295e4e6a18f1,1,0,1,1291,2,3,1291,2,3,1,1,1,exact_match,percentage of volunteers > sitting on a committee or board,2004,percentage of volunteers > sitting on a committee or board,2004,0.738751,0.738751,0.0,1.0,1.0,0.0
