dataset,query_id,table_id,gold_row,gold_col,header_path_len,chunk_id,path_elems_present,partial_ratio,full_coverage,chunk_token_len
aitqa,q-0,tab-0,2,2,1,tab-0::whole,1,1.0,True,129
aitqa,q-1,tab-0,0,1,1,tab-0::whole,1,1.0,True,129
aitqa,q-2,tab-0,0,3,1,tab-0::whole,1,1.0,True,129
aitqa,q-3,tab-0,0,4,1,tab-0::whole,1,1.0,True,129
aitqa,q-4,tab-0,2,2,1,tab-0::whole,1,1.0,True,129
aitqa,q-5,tab-0,2,2,1,tab-0::whole,1,1.0,True,129
aitqa,q-6,tab-0,2,4,1,tab-0::whole,1,1.0,True,129
aitqa,q-7,tab-1,1,0,4,tab-1::whole,2,0.5,False,368
aitqa,q-8,tab-1,2,2,4,tab-1::whole,2,0.5,False,368
aitqa,q-9,tab-1,7,3,4,tab-1::whole,2,0.5,False,368
aitqa,q-10,tab-1,8,1,4,tab-1::whole,2,0.5,False,368
aitqa,q-11,tab-1,1,0,4,tab-1::whole,2,0.5,False,368
aitqa,q-12,tab-1,2,2,4,tab-1::whole,2,0.5,False,368
aitqa,q-13,tab-1,7,3,4,tab-1::whole,2,0.5,False,368
aitqa,q-14,tab-1,0,1,4,tab-1::whole,2,0.5,False,368
aitqa,q-15,tab-1,11,4,4,tab-1::whole,2,0.5,False,368
aitqa,q-16,tab-2,6,4,3,tab-2::whole,2,0.6666666666666666,False,378
aitqa,q-17,tab-2,6,4,3,tab-2::whole,2,0.6666666666666666,False,378
aitqa,q-19,tab-3,0,0,3,tab-3::whole,2,0.6666666666666666,False,417
aitqa,q-21,tab-3,5,1,3,tab-3::whole,2,0.6666666666666666,False,417
aitqa,q-22,tab-3,7,0,3,tab-3::whole,2,0.6666666666666666,False,417
aitqa,q-23,tab-3,8,0,3,tab-3::whole,2,0.6666666666666666,False,417
aitqa,q-24,tab-4,1,1,4,tab-4::whole,2,0.5,False,399
aitqa,q-25,tab-4,5,0,4,tab-4::whole,2,0.5,False,399
aitqa,q-26,tab-4,22,0,4,tab-4::whole,2,0.5,False,399
aitqa,q-27,tab-4,23,0,4,tab-4::whole,2,0.5,False,399
aitqa,q-28,tab-5,6,0,5,tab-5::whole,2,0.4,False,263
aitqa,q-29,tab-5,5,0,4,tab-5::whole,2,0.5,False,263
aitqa,q-31,tab-7,11,2,4,tab-7::whole,2,0.5,False,368
aitqa,q-32,tab-7,3,0,4,tab-7::whole,2,0.5,False,368
aitqa,q-33,tab-7,9,0,4,tab-7::whole,2,0.5,False,368
aitqa,q-34,tab-7,11,2,4,tab-7::whole,2,0.5,False,368
aitqa,q-35,tab-7,23,1,4,tab-7::whole,2,0.5,False,368
aitqa,q-36,tab-8,12,0,4,tab-8::whole,2,0.5,False,200
aitqa,q-38,tab-9,0,1,3,tab-9::whole,1,0.3333333333333333,False,54
aitqa,q-39,tab-9,0,1,3,tab-9::whole,1,0.3333333333333333,False,54
aitqa,q-40,tab-9,3,0,3,tab-9::whole,1,0.3333333333333333,False,54
aitqa,q-44,tab-11,7,2,4,tab-11::whole,2,0.5,False,212
aitqa,q-45,tab-11,0,3,3,tab-11::whole,2,0.6666666666666666,False,212
aitqa,q-46,tab-11,1,3,3,tab-11::whole,2,0.6666666666666666,False,212
aitqa,q-47,tab-11,7,2,4,tab-11::whole,2,0.5,False,212
aitqa,q-50,tab-12,15,0,4,tab-12::whole,2,0.5,False,887
aitqa,q-51,tab-12,15,1,4,tab-12::whole,2,0.5,False,887
aitqa,q-52,tab-12,16,0,4,tab-12::whole,2,0.5,False,887
aitqa,q-53,tab-12,16,1,4,tab-12::whole,2,0.5,False,887
aitqa,q-54,tab-12,17,0,4,tab-12::whole,2,0.5,False,887
aitqa,q-55,tab-12,24,1,4,tab-12::whole,2,0.5,False,887
aitqa,q-56,tab-12,28,0,4,tab-12::whole,2,0.5,False,887
aitqa,q-57,tab-12,32,2,4,tab-12::whole,2,0.5,False,887
aitqa,q-58,tab-12,22,1,4,tab-12::whole,2,0.5,False,887
aitqa,q-59,tab-12,15,1,4,tab-12::whole,2,0.5,False,887
aitqa,q-60,tab-12,16,1,4,tab-12::whole,2,0.5,False,887
aitqa,q-61,tab-13,0,1,4,tab-13::whole,3,0.75,False,138
aitqa,q-64,tab-13,0,2,2,tab-13::whole,1,0.5,False,138
aitqa,q-65,tab-14,5,3,3,tab-14::whole,2,0.6666666666666666,False,175
aitqa,q-66,tab-14,1,0,3,tab-14::whole,2,0.6666666666666666,False,175
aitqa,q-67,tab-15,2,1,1,tab-15::whole,1,1.0,True,188
aitqa,q-68,tab-15,0,1,1,tab-15::whole,1,1.0,True,188
aitqa,q-69,tab-15,2,1,1,tab-15::whole,1,1.0,True,188
aitqa,q-70,tab-15,3,1,1,tab-15::whole,1,1.0,True,188
aitqa,q-71,tab-15,4,1,1,tab-15::whole,1,1.0,True,188
aitqa,q-73,tab-16,1,1,2,tab-16::whole,1,0.5,False,62
aitqa,q-74,tab-16,4,0,2,tab-16::whole,1,0.5,False,62
aitqa,q-75,tab-16,0,0,2,tab-16::whole,1,0.5,False,62
aitqa,q-76,tab-16,1,0,2,tab-16::whole,1,0.5,False,62
aitqa,q-77,tab-16,1,1,2,tab-16::whole,1,0.5,False,62
aitqa,q-78,tab-16,4,1,2,tab-16::whole,1,0.5,False,62
aitqa,q-79,tab-16,5,0,2,tab-16::whole,1,0.5,False,62
aitqa,q-80,tab-16,5,0,2,tab-16::whole,1,0.5,False,62
aitqa,q-81,tab-17,0,0,3,tab-17::whole,2,0.6666666666666666,False,319
aitqa,q-82,tab-17,0,2,3,tab-17::whole,2,0.6666666666666666,False,319
aitqa,q-83,tab-17,1,1,3,tab-17::whole,2,0.6666666666666666,False,319
aitqa,q-84,tab-17,2,0,3,tab-17::whole,2,0.6666666666666666,False,319
aitqa,q-85,tab-17,4,1,3,tab-17::whole,2,0.6666666666666666,False,319
aitqa,q-86,tab-17,5,1,3,tab-17::whole,2,0.6666666666666666,False,319
aitqa,q-87,tab-17,6,4,3,tab-17::whole,2,0.6666666666666666,False,319
aitqa,q-88,tab-17,8,0,3,tab-17::whole,2,0.6666666666666666,False,319
