query_id,question,gold_table_id,gold_table_title,top1_table_id,top1_table_title,same_title
00549126c06b99604e8dfb85cc2f7f3f,"in fy 2016, how many thousand dollars was r&d support?",151_72_tab3,"federal obligations for science and engineering to historically black colleges and universities, ranked by total amount received, by type of activity: fy 2016",106_55_fs17-ib-19314-tab001,"federal science and engineering obligations, by type of activity: fys 2009-17",아니오
08147555888ee98eea4891c287470047,how many million dollars did funding for research and development to universities and colleges increase in 2017?,106_55_fs17-ib-19314-tab001,"federal science and engineering obligations, by type of activity: fys 2009-17",2547,"donor rate and amounts donated to different types of organizations, 2013",아니오
0a2938b5924faf566b2ccd1061dc1412,how many billion dollars of r&d did companies perform in the united states in 2015?,92_48_nsf19322-tab001,"domestic r&d performed by companies, by core-based statistical areas with at least $1 billion and source of funds: 2015",16_118_tab1,"business r&d performed in the united states, by source of funds and mnc status: 2008-10",아니오
0c04b94b7162d791a417ba4fedd934b5,how many yards did michael bishop finish by playing two seasons?,231_totto26510-4,Michael Bishop (gridiron football): college statistics,273_totto31153-4,"Michael Bishop (gridiron football): nfl, nfle and cfl statistics",아니오
0c863f592b8b2b1612dbded809c4f631,what was the percentage points were they far less likely to be union members?,1676,estimated relationship between teacher job characteristics and private high school employment,1602,"participation, employment and unemployment rates of people aged 25 to 54 by aboriginal group and marital status, 2015",아니오
226e61021f00e07ff8f3a8db1628ca09,what was the percentage of male ecpas who were from southwest asia and africa?,1534,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",1404,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",아니오
29d407c8491b4c01c5b30be8334536be,"there was a large difference in the proportion of those with a graduate degree, what was the percentage of immigrant owners?",145,characteristics of small and medium-sized enterprises and their owners in the study sample,2656,university completion rates among immigrant parents of second generation groups,아니오
311f95ac77073b7d720b6fabe1e87365,what was the percentage of male ecpas who were from east asia?,1534,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",1404,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",아니오
363f9bb3f74c7ec86026ee4e8707dfb8,"of these individuals, what was the number in the labor force, which includes those employed full time or part time and those actively seeking work?",48_164_tab1,"number in labor force and unemployment rate for scientists and engineers with u.s. doctoral degrees, by field of doctorate: 2001-10",50_164_tab3,"employment status of scientists and engineers with u.s. doctoral degrees, by sex, ethnicity, race, and citizenship: 2010",아니오
4c25190668c859cfffef1f14bd69ffe0,what is the probability that individuals are employed in the pre-reform period?,2062,descriptive statistics,399,"predicted probability of being employed in a professional or managerial occupation by skill level and selected aboriginal identity group, 2012",아니오
