query_id,table_id,gold_row,gold_col,group,hit@10,hit@50
q-0,tab-0,2,2,full,0,1
q-1,tab-0,0,1,full,1,1
q-2,tab-0,0,3,full,1,1
q-3,tab-0,0,4,full,1,1
q-4,tab-0,2,2,full,0,1
q-5,tab-0,2,2,full,0,1
q-6,tab-0,2,4,full,1,1
q-7,tab-1,1,0,full,0,1
q-8,tab-1,2,2,full,0,1
q-9,tab-1,7,3,full,0,1
q-10,tab-1,8,1,full,0,1
q-11,tab-1,1,0,full,1,1
q-12,tab-1,2,2,full,0,1
q-13,tab-1,7,3,full,1,1
q-14,tab-1,0,1,full,1,1
q-15,tab-1,11,4,partial,1,1
q-16,tab-2,6,4,full,1,1
q-17,tab-2,6,4,full,1,1
q-19,tab-3,0,0,full,1,1
q-21,tab-3,5,1,full,1,1
q-22,tab-3,7,0,full,1,1
q-23,tab-3,8,0,full,1,1
q-24,tab-4,1,1,full,1,1
q-25,tab-4,5,0,full,1,1
q-26,tab-4,22,0,partial,0,1
q-27,tab-4,23,0,partial,0,1
q-28,tab-5,6,0,full,1,1
q-29,tab-5,5,0,full,1,1
q-31,tab-7,11,2,full,1,1
q-32,tab-7,3,0,full,1,1
q-33,tab-7,9,0,full,1,1
q-34,tab-7,11,2,full,1,1
q-35,tab-7,23,1,partial,0,1
q-36,tab-8,12,0,full,1,1
q-38,tab-9,0,1,full,1,1
q-39,tab-9,0,1,full,1,1
q-40,tab-9,3,0,full,1,1
q-44,tab-11,7,2,full,1,1
q-45,tab-11,0,3,full,1,1
q-46,tab-11,1,3,full,1,1
q-47,tab-11,7,2,full,1,1
q-50,tab-12,15,0,partial,0,1
q-51,tab-12,15,1,partial,0,1
q-52,tab-12,16,0,partial,0,1
q-53,tab-12,16,1,partial,1,1
q-54,tab-12,17,0,partial,0,1
q-55,tab-12,24,1,partial,0,1
q-56,tab-12,28,0,partial,1,1
q-57,tab-12,32,2,partial,1,1
q-58,tab-12,22,1,partial,1,1
q-59,tab-12,15,1,partial,0,1
q-60,tab-12,16,1,partial,0,1
q-61,tab-13,0,1,full,0,1
q-64,tab-13,0,2,full,1,1
q-65,tab-14,5,3,full,1,1
q-66,tab-14,1,0,full,1,1
q-67,tab-15,2,1,full,1,1
q-68,tab-15,0,1,full,1,1
q-69,tab-15,2,1,full,1,1
q-70,tab-15,3,1,full,1,1
q-71,tab-15,4,1,full,1,1
q-73,tab-16,1,1,full,1,1
q-74,tab-16,4,0,full,1,1
q-75,tab-16,0,0,full,1,1
q-76,tab-16,1,0,full,1,1
q-77,tab-16,1,1,full,1,1
q-78,tab-16,4,1,full,1,1
q-79,tab-16,5,0,full,1,1
q-80,tab-16,5,0,full,1,1
q-81,tab-17,0,0,full,0,1
q-82,tab-17,0,2,full,1,1
q-83,tab-17,1,1,full,1,1
q-84,tab-17,2,0,full,1,1
q-85,tab-17,4,1,full,1,1
q-86,tab-17,5,1,full,0,0
q-87,tab-17,6,4,full,1,1
q-88,tab-17,8,0,full,1,1
q-89,tab-17,0,0,full,1,1
q-90,tab-17,0,2,full,1,1
q-91,tab-17,6,0,full,0,1
q-92,tab-17,7,1,full,1,1
q-93,tab-17,9,0,full,0,1
q-94,tab-17,0,2,full,1,1
q-95,tab-17,1,1,full,0,1
q-96,tab-17,6,1,full,0,1
q-97,tab-17,8,3,full,1,1
q-98,tab-17,4,1,full,0,1
q-99,tab-17,5,1,full,1,1
q-100,tab-17,5,2,full,1,1
q-101,tab-17,4,3,full,1,1
q-102,tab-17,7,0,full,1,1
q-103,tab-18,0,2,full,1,1
q-104,tab-18,1,0,full,0,1
q-105,tab-18,3,0,full,0,1
q-106,tab-18,3,2,full,1,1
q-107,tab-18,3,0,full,0,1
q-108,tab-18,3,1,full,0,1
q-109,tab-19,3,2,full,1,1
q-110,tab-19,0,1,full,1,1
q-111,tab-19,2,2,full,1,1
q-112,tab-19,3,3,full,1,1
q-113,tab-19,5,2,full,0,1
q-114,tab-20,4,0,full,1,1
q-115,tab-20,4,0,full,0,1
q-116,tab-20,2,0,full,1,1
q-117,tab-20,10,3,full,1,1
q-118,tab-21,2,0,full,1,1
q-119,tab-22,1,2,full,1,1
q-120,tab-22,1,2,full,1,1
q-121,tab-23,0,1,full,1,1
q-122,tab-23,0,1,full,0,1
q-123,tab-23,1,1,full,1,1
q-124,tab-23,2,3,full,1,1
q-125,tab-24,3,2,full,0,1
q-126,tab-25,1,4,full,1,1
q-127,tab-25,2,0,full,0,1
q-128,tab-25,4,1,full,0,1
q-129,tab-25,5,1,full,0,1
q-130,tab-25,8,3,full,0,1
q-132,tab-26,1,0,full,1,1
q-133,tab-26,0,0,full,1,1
q-134,tab-27,1,1,full,0,0
q-135,tab-27,10,2,full,1,1
q-136,tab-27,0,3,full,1,1
q-137,tab-27,1,1,full,0,0
q-138,tab-27,7,0,full,1,1
