번호,query_id,질문,기간 있음,사람 (가),(나),조각 수,질문에 모두 있음,모든 조각을 담은 단위 수,정답 단위 포함,검증
1,00549126c06b99604e8dfb85cc2f7f3f,"in fy 2016, how many thousand dollars was r&d support?",예,아니오,해당 없음,,,,,해당 없음
2,08147555888ee98eea4891c287470047,how many million dollars did funding for research and development to universities and colleges increase in 2017?,예,예,funding for research and development; universities and colleges; 2017,6,예,0,아니오,아니오
3,0a2938b5924faf566b2ccd1061dc1412,how many billion dollars of r&d did companies perform in the united states in 2015?,예,예,r&d; companies; united states; 2015,5,예,0,아니오,아니오
4,0c04b94b7162d791a417ba4fedd934b5,how many yards did michael bishop finish by playing two seasons?,아니오,아니오,해당 없음,,,,,해당 없음
5,0c863f592b8b2b1612dbded809c4f631,what was the percentage points were they far less likely to be union members?,아니오,아니오,해당 없음,,,,,해당 없음
6,226e61021f00e07ff8f3a8db1628ca09,what was the percentage of male ecpas who were from southwest asia and africa?,아니오,예,male ecpas; southwest asia and africa,5,예,0,아니오,아니오
7,29d407c8491b4c01c5b30be8334536be,"there was a large difference in the proportion of those with a graduate degree, what was the percentage of immigrant owners?",아니오,예,graduate degree; immigrant owners,4,예,1,예,예
8,311f95ac77073b7d720b6fabe1e87365,what was the percentage of male ecpas who were from east asia?,아니오,예,male ecpas; east asia,4,예,0,아니오,아니오
9,363f9bb3f74c7ec86026ee4e8707dfb8,"of these individuals, what was the number in the labor force, which includes those employed full time or part time and those actively seeking work?",아니오,아니오,해당 없음,,,,,해당 없음
10,4c25190668c859cfffef1f14bd69ffe0,what is the probability that individuals are employed in the pre-reform period?,아니오,아니오,해당 없음,,,,,해당 없음
11,5f15bb0bdbd99fee28e3a2c174a9376a,what is the proportion of individuals who claim a disability tax credit?,아니오,아니오,해당 없음,,,,,해당 없음
12,6212e7e804400c635133bec9b7196147,"in 2010, how many percent was the labor force participation rate among seh doctorate holders for men?",예,예,2010; labor force participation rate; seh doctorate holders; men,9,예,0,아니오,아니오
13,68eaeef17a05268e1f14d7392447f6a3,what was the percent among their counterparts in households with five or more people?,아니오,아니오,해당 없음,,,,,해당 없음
14,6939086016c92b318fe710ce09fcaea2,what was the percentage of men that had employment in all five years?,아니오,아니오,해당 없음,,,,,해당 없음
15,6fcebcf499a7f7106400ac2d33cdd048,what was the percentage of female ecpas were from eastern europe?,아니오,예,female ecpas; eastern europe,4,예,0,아니오,아니오
16,7380ff5eaeb2557b7a549b68f014e2a3,what was the percentage of female skilled workers were university graduates (bachelor's degree or more)?,아니오,예,female skilled workers; university graduates (bachelor's degree or more),8,예,0,아니오,아니오
17,76f11e0e5ab80386f96fcf2f3ae0e651,what was the percentage of manufactures exported in 2011 and 2012?,예,예,manufactures exported; 2011 and 2012,4,예,0,아니오,아니오
18,78a19d0e2e5a0ad6398d3389b7d46e98,what was the percent of all senior caregivers aged 65 and older providing care primarily for a spouse in the past 12 months?,아니오,예,senior caregivers aged 65 and older; providing care; spouse,8,예,0,아니오,아니오
19,7cb39f8e9e1f9282f1b169f390345306,what was the percentage of women who did not have employment in any of the previous five years?,아니오,아니오,해당 없음,,,,,해당 없음
20,7fb14f32b233aebd6e14ffa0d9c08eff,"among visible minority women aged 15 and over, what was the percentage of women were unemployed in the week prior to the 2011 census?",예,예,visible minority women aged 15 and over; unemployed; 2011 census,8,예,0,아니오,아니오
21,810c706ff53b4354f9608002319683b9,"overall, what was the percentage of visible minority women and girls living in a low-income situation?",아니오,예,visible minority women and girls; low-income situation,6,예,0,아니오,아니오
22,89bab78aee8ef8065330506d7128f3f6,what was the percentage of the injuries occurred only once during the previous 12 months?,아니오,아니오,해당 없음,,,,,해당 없음
23,8db22461be5d09fe27d62d3b758fad97,what was the peak chart position on the us200 of the album roses?,아니오,아니오,해당 없음,,,,,해당 없음
24,8e41bf48220d3ec31e7eb2367c58d82d,what was the percent of seniors aged 65 to 74 cared to a spouse?,아니오,예,seniors aged 65 to 74; cared to a spouse,6,예,0,아니오,아니오
25,a8cb77d327fed6ce680ed7ad883b9814,what was the percentage of male ecpas who were from south asia?,아니오,예,male ecpas; south asia,4,예,0,아니오,아니오
