번호,query_id,질문 원문,정답 표 제목,정답 셀 경로(행 머리글 > 열 머리글),1위 셀의 표 제목,1위 셀 경로(행 머리글 > 열 머리글),정답 표 제목과 같은 제목의 test 표 수(정답 표 포함),(가) 질문만 보고 정답 표를 특정할 수 있는가(예/아니오),(나) 예라면 근거 단어,(다) 1위 표로도 질문에 답할 수 있는가(예/아니오)
1,00549126c06b99604e8dfb85cc2f7f3f,"in fy 2016, how many thousand dollars was r&d support?","federal obligations for science and engineering to historically black colleges and universities, ranked by total amount received, by type of activity: fy 2016",all hbcus > r&d,"federal science and engineering obligations, by type of activity: fys 2009-17",constant fy 2012 $millions > 2016 > r&d,1,,,
2,08147555888ee98eea4891c287470047,how many million dollars did funding for research and development to universities and colleges increase in 2017?,"federal science and engineering obligations, by type of activity: fys 2009-17",2017 > r&d,"donor rate and amounts donated to different types of organizations, 2013",total > universities and colleges > total amount donated > millions of dollars,1,,,
3,0a2938b5924faf566b2ccd1061dc1412,how many billion dollars of r&d did companies perform in the united states in 2015?,"domestic r&d performed by companies, by core-based statistical areas with at least $1 billion and source of funds: 2015",all locations > total,"business r&d performed in the united states, by source of funds and mnc status: 2008-10",u.s.-located companies > domestic r&d performance > 2009,1,,,
4,0c04b94b7162d791a417ba4fedd934b5,how many yards did michael bishop finish by playing two seasons?,Michael Bishop (gridiron football): college statistics,career > passing > yds,"Michael Bishop (gridiron football): nfl, nfle and cfl statistics",125 > passing > yards,1,,,
5,0c863f592b8b2b1612dbded809c4f631,what was the percentage points were they far less likely to be union members?,estimated relationship between teacher job characteristics and private high school employment,union membership > regression results > coefficient,"participation, employment and unemployment rates of people aged 25 to 54 by aboriginal group and marital status, 2015",unemployment rate > non-aboriginal population > difference > percentage points,1,,,
6,226e61021f00e07ff8f3a8db1628ca09,what was the percentage of male ecpas who were from southwest asia and africa?,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",% distribution > world region > southwest asia and africa > men > economic class principal applicants > total,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",% distribution > source world region > sub-saharan africa > male,1,,,
7,29d407c8491b4c01c5b30be8334536be,"there was a large difference in the proportion of those with a graduate degree, what was the percentage of immigrant owners?",characteristics of small and medium-sized enterprises and their owners in the study sample,percent > educational attainment > graduate degree > all private-sector smes > immigrant owned,university completion rates among immigrant parents of second generation groups,second generation groups > chinese > with a university degree > fathers > percent,1,,,
8,311f95ac77073b7d720b6fabe1e87365,what was the percentage of male ecpas who were from east asia?,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",% distribution > world region > east asia > men > economic class principal applicants > total,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",% distribution > source world region > east asia > male,1,,,
9,363f9bb3f74c7ec86026ee4e8707dfb8,"of these individuals, what was the number in the labor force, which includes those employed full time or part time and those actively seeking work?","number in labor force and unemployment rate for scientists and engineers with u.s. doctoral degrees, by field of doctorate: 2001-10",number in labor force > all seh fields > 2010,"employment status of scientists and engineers with u.s. doctoral degrees, by sex, ethnicity, race, and citizenship: 2010",all u.s. seh doctorate holders > in labor force > working for pay or profit > part time,1,,,
10,4c25190668c859cfffef1f14bd69ffe0,what is the probability that individuals are employed in the pre-reform period?,descriptive statistics,percent > non-pension income > individual has labour income > average,"predicted probability of being employed in a professional or managerial occupation by skill level and selected aboriginal identity group, 2012",predicted probability > higher skill level > non-aboriginal > literacy > model 1,1,,,
