dataset,query_id,table_id,gold_row,gold_col,header_path_len,chunk_id,path_elems_present,partial_ratio,full_coverage,chunk_token_len
realhitbench,4,employment-table01,71,6,5,employment-table01::row::71,3,0.6,False,95
realhitbench,19,employment-table03,1,3,6,employment-table03::row::1,4,0.6666666666666666,False,60
realhitbench,21,employment-table03,1,7,4,employment-table03::row::1,3,0.75,False,60
realhitbench,31,employment-table05,2,0,4,employment-table05::row::2,3,0.75,False,55
realhitbench,42,employment-table07,2,6,5,employment-table07::row::2,3,0.6,False,58
realhitbench,58,employment-table08,1,0,6,employment-table08::row::1,4,0.6666666666666666,False,71
realhitbench,58,employment-table08,1,4,6,employment-table08::row::1,4,0.6666666666666666,False,71
realhitbench,59,employment-table08,30,2,7,employment-table08::row::30,3,0.42857142857142855,False,68
realhitbench,63,employment-table13,2,7,3,employment-table13::row::2,2,0.6666666666666666,False,52
realhitbench,69,employment-table14,5,0,5,employment-table14::row::5,3,0.6,False,74
realhitbench,80,employment-table16,0,6,6,employment-table16::row::0,3,0.5,False,82
realhitbench,80,employment-table16,0,9,5,employment-table16::row::0,2,0.4,False,82
realhitbench,83,employment-table17,2,0,4,employment-table17::row::2,3,0.75,False,44
realhitbench,97,employment-table22,0,2,4,employment-table22::row::0,2,0.5,False,49
realhitbench,97,employment-table22,0,5,4,employment-table22::row::0,2,0.5,False,49
realhitbench,103,employment-table21,3,1,4,employment-table21::row::3,2,0.5,False,42
realhitbench,105,employment-table21,5,3,4,employment-table21::row::5,2,0.5,False,43
realhitbench,105,employment-table21,5,5,4,employment-table21::row::5,2,0.5,False,43
realhitbench,105,employment-table21,6,3,4,employment-table21::row::6,2,0.5,False,45
realhitbench,105,employment-table21,7,3,4,employment-table21::row::7,2,0.5,False,43
realhitbench,105,employment-table21,7,5,4,employment-table21::row::7,2,0.5,False,43
realhitbench,105,employment-table21,8,3,4,employment-table21::row::8,2,0.5,False,42
realhitbench,105,employment-table21,9,3,4,employment-table21::row::9,2,0.5,False,41
realhitbench,105,employment-table21,10,3,4,employment-table21::row::10,2,0.5,False,43
realhitbench,105,employment-table21,10,5,4,employment-table21::row::10,2,0.5,False,43
realhitbench,105,employment-table21,11,3,4,employment-table21::row::11,2,0.5,False,43
realhitbench,112,employment-table24,1,1,5,employment-table24::row::1,4,0.8,False,65
realhitbench,112,employment-table24,1,5,4,employment-table24::row::1,3,0.75,False,65
realhitbench,115,employment-table24,1,0,4,employment-table24::row::1,3,0.75,False,65
realhitbench,117,employment-table25,3,5,3,employment-table25::row::3,2,0.6666666666666666,False,57
realhitbench,121,employment-table26,48,4,4,employment-table26::row::48,2,0.5,False,42
realhitbench,133,economy-table132,1,0,3,economy-table132::row::1,3,1.0,True,75
realhitbench,149,injuries-table03,4,0,2,injuries-table03::row::4,2,1.0,True,34
realhitbench,180,productivity-table01,3,0,1,productivity-table01::row::3,1,1.0,True,9
realhitbench,190,activitytime-table01,82,0,5,activitytime-table01::row::82,3,0.6,False,151
realhitbench,201,activitytime-table03,49,4,5,activitytime-table03::row::49,4,0.8,False,135
realhitbench,201,activitytime-table03,62,0,5,activitytime-table03::row::62,4,0.8,False,135
realhitbench,202,activitytime-table05,78,1,5,activitytime-table05::row::78,4,0.8,False,137
realhitbench,207,activitytime-table04,45,5,5,activitytime-table04::row::45,4,0.8,False,138
realhitbench,260,agriculture-table02,7,1,3,agriculture-table02::row::7,3,1.0,True,57
realhitbench,260,agriculture-table02,7,2,3,agriculture-table02::row::7,3,1.0,True,57
realhitbench,266,health-table01,0,1,3,health-table01::row::0,2,0.6666666666666666,False,22
realhitbench,268,health-table01,12,0,3,health-table01::row::12,3,1.0,True,20
realhitbench,271,health-table01,10,1,4,health-table01::row::10,3,0.75,False,23
realhitbench,272,agriculture-table03,1,5,2,agriculture-table03::row::1,2,1.0,True,61
realhitbench,326,environment-table03,3,2,2,environment-table03::row::3,2,1.0,True,37
realhitbench,330,environment-table03,5,2,2,environment-table03::row::5,2,1.0,True,33
realhitbench,330,environment-table03,5,3,2,environment-table03::row::5,2,1.0,True,33
realhitbench,330,environment-table03,5,4,2,environment-table03::row::5,2,1.0,True,33
realhitbench,330,environment-table03,14,2,2,environment-table03::row::14,2,1.0,True,33
realhitbench,330,environment-table03,14,3,2,environment-table03::row::14,2,1.0,True,33
realhitbench,330,environment-table03,14,4,2,environment-table03::row::14,2,1.0,True,33
realhitbench,349,education-table03,4,0,1,education-table03::row::4,1,1.0,True,14
realhitbench,353,education-table04,0,3,4,education-table04::row::0,3,0.75,False,85
realhitbench,353,education-table04,0,5,4,education-table04::row::0,3,0.75,False,85
realhitbench,365,education-table06,2,7,2,education-table06::row::2,2,1.0,True,95
realhitbench,371,education-table07,4,13,2,education-table07::row::4,2,1.0,True,102
realhitbench,375,education-table08,1,6,2,education-table08::row::1,2,1.0,True,90
realhitbench,383,education-table10,4,0,2,education-table10::row::4,2,1.0,True,90
realhitbench,389,education-table11,0,5,2,education-table11::row::0,2,1.0,True,84
realhitbench,389,education-table11,0,12,2,education-table11::row::0,2,1.0,True,84
realhitbench,391,education-table12,1,6,2,education-table12::row::1,2,1.0,True,91
realhitbench,395,economy-table05,42,0,3,economy-table05::row::42,3,1.0,True,82
realhitbench,400,economy-table06,6,0,2,economy-table06::row::6,2,1.0,True,71
realhitbench,410,economy-table08,3,0,2,economy-table08::row::3,2,1.0,True,40
realhitbench,414,economy-table09,9,0,2,economy-table09::row::9,2,1.0,True,84
realhitbench,419,economy-table10,14,0,3,economy-table10::row::14,3,1.0,True,77
realhitbench,424,education-table14,7,0,4,education-table14::row::7,4,1.0,True,137
realhitbench,424,education-table14,17,10,4,education-table14::row::17,4,1.0,True,137
realhitbench,430,economy-table12,10,3,3,economy-table12::row::10,3,1.0,True,62
realhitbench,433,economy-table13,6,0,2,economy-table13::row::6,2,1.0,True,156
realhitbench,454,economy-table15,10,11,3,economy-table15::row::10,3,1.0,True,61
realhitbench,464,environment-table04,3,0,2,environment-table04::row::3,2,1.0,True,71
realhitbench,474,economy-table25,0,0,2,economy-table25::row::0,1,0.5,False,125
realhitbench,500,business-table05,0,3,5,business-table05::row::0,5,1.0,True,62
realhitbench,504,military-table21,19,0,5,military-table21::row::19,3,0.6,False,127
realhitbench,506,employment-table29,2,2,2,employment-table29::row::2,2,1.0,True,12
