query_id,query_type,pool,dataset,question,gold_answer,gold_table_id,gold_cells
dbf399b11e90d50da1657c92ddd31890,lookup,hitab_lookup,hitab,what was the proportion of delayed tax filing for tax filers who experienced increases in their earnings of 50% or more?,[3.6],1561,"[[""1561"", 16, 1]]"
27459204396c30149478c43d82359551,lookup,hitab_lookup,hitab,what percentage of 3- to 5-year-old girls had care in someone else's home?,[25.8],2754,"[[""2754"", 1, 4]]"
07083241ad9abbb39341fc239d8332e1,lookup,hitab_lookup,hitab,"what was the percentage of canadian households where the main source of income was social assistance, oas or gis that have received formal home care services in 2015/2016?",[13.4],366,"[[""366"", 16, 0]]"
fafd2b89ac917f0a6ff676557e131c9f,lookup,hitab_lookup,hitab,what was the median income of women with a degree in a health and related fields in 2010?,[70288.0],2311,"[[""2311"", 1, 1]]"
600192d981b13d53be3051860948e0fb,lookup,hitab_lookup,hitab,"the largest state in terms of self-funded business r&d performance, california, how many million dollars did it account of business r&d performance in the united states?",[64104.0],40_159_tab1,"[[""40_159_tab1"", 1, 0]]"
57d7d667a721de4ac68cc418812f68e9,lookup,hitab_lookup,hitab,what percentage of men experienced unwanted sexual behaviours in public places in the past 12 months of 2018 are?,[13.4],914,"[[""914"", 7, 3]]"
4fa6625a58e859ece5d88e338a18febc,lookup,hitab_lookup,hitab,"the growth in ffrdc postdoc research is happening in engineering fields, how many percentage points of share in 2012?",[21.9],9_11_nsf21304-tab002,"[[""9_11_nsf21304-tab002"", 13, 1]]"
31b4d67c704beda9b45c8fa9132a679e,lookup,hitab_lookup,hitab,what was the percentage of social workers in toronto?,[14.9],1719,"[[""1719"", 23, 5]]"
f9944a60f940a762fbe2482c7eed0314,lookup,hitab_lookup,hitab,"there is a higher proportion of aboriginal children in those provinces of all children aged 14 and under, what was the proportion of aboriginal children in nunavut?",[95.5],1335,"[[""1335"", 13, 0]]"
2180db5164d3b436883d10176e5a0e6c,lookup,hitab_lookup,hitab,what was this younger-to-older worker ratio for black women?,[1.72],307,"[[""307"", 3, 0]]"
e787c9de756ff0da1df55eba5381fa19,lookup,hitab_lookup,hitab,how many percent of police officers in canada were eligible to retire as of the 2017 calendar year?,[11],1017,"[[""1017"", 15, 7]]"
fa7cf72a6e9cf7879bd5b15440e9ef44,lookup,hitab_lookup,hitab,what is the percentage of persons who do not receive enough help with heavy household chores?,[19.9],389,"[[""389"", 4, 0]]"
b9dbd5f004d17ebee0fe004644ca2218,lookup,hitab_lookup,hitab,"what was the earning ratio between women and men in architecture, engineering, and related technologies?",[0.78],2311,"[[""2311"", 4, 3]]"
1a8a4b963724b30a73fc01eb2942cc58,lookup,hitab_lookup,hitab,how many victims of police-reported violent crime are there in canada in 2017?,[350457.0],2809,"[[""2809"", 30, 4]]"
c94d92c459553089d4cacf5aeb293904,lookup,hitab_lookup,hitab,"in 2011, how many women and girls in canada that self-identified as having registered indian status in the nhs?",[360095.0],1904,"[[""1904"", 1, 1]]"
959d49bed354bb31f0675182bc7a1af7,lookup,hitab_lookup,hitab,"in 2013, what was the percentage point of young people aged 15 to 34 used only one of the five types of media to follow news and current affairs?",[30.0],1556,"[[""1556"", 4, 0]]"
09c3d348ea76b11d305d71fe30e310aa,lookup,hitab_lookup,hitab,"in 2015, how many million dollars did u.s. companies perform in r&d?",[355821.0],103_54_nsf19316-tab001,"[[""103_54_nsf19316-tab001"", 0, 7]]"
08de9f0bb7079f4ef67389e2eaada0ca,lookup,hitab_lookup,hitab,what was the earning ratio between women and men's median income when they were both in health and related fields?,[0.91],2311,"[[""2311"", 1, 3]]"
1da17bbdb4440ad5770b76546f3d9113,lookup,hitab_lookup,hitab,"over the past decade, developed countries that produce over 50,000 papers or more annually experienced relatively low average annual growth rates, what was the rates for the united kingdom?",[3.1],169_84_tab1,"[[""169_84_tab1"", 6, 3]]"
4cc43c2ea8169c1b98ec4ef1fde32628,lookup,hitab_lookup,hitab,what is the percentage of couples with children to the total syrian government-assisted refugee population?,[94.0],247,"[[""247"", 4, 0]]"
52d5dd67e1b954d8dbb5253cff68d67b,lookup,hitab_lookup,hitab,what is the percentage of construction managers aged 55 and over among all construction managers in 2016?,[25.1],2318,"[[""2318"", 3, 5]]"
aebe364e5c9a4d925c9061cac8f45f27,lookup,hitab_lookup,hitab,what was the percentage of firearm-related homicides in halifax in 2016?,[75.0],1956,"[[""1956"", 1, 3]]"
cc96e8c36742e4e0c115d4980eb12484,lookup,hitab_lookup,hitab,"in 2014/2015, how many percertage points did cases completed in adult criminal court result in a finding of guilt?",[63.0],2540,"[[""2540"", 39, 1]]"
078515bafc24df0c7acf84530264d6ed,lookup,hitab_lookup,hitab,"what the percentage of men who have been pressured to send, share, or post sexually suggestive or explicit images or messages in the past 12 months of 2018 are?",[1.8],914,"[[""914"", 13, 3]]"
bf80fdbf0af95a553dceabf31244765a,lookup,hitab_lookup,hitab,what was the overqualification rate of canadian-born visible minority women?,[17.0],2306,"[[""2306"", 0, 0]]"
460624dde30218e9471b8a3c8e49142f,lookup,hitab_lookup,hitab,"over the period 2000 to 2016, how many percentage points of capital goods exports to the united states has declined?",[2.8],1539,"[[""1539"", 14, 6]]"
f3337f48962c95f3d9479cc9c6ff7211,lookup,hitab_lookup,hitab,what is the average age of respondents?,[64.0],2786,"[[""2786"", 0, 0]]"
df4d10cd832d0640617227cfdf344d75,lookup,hitab_lookup,hitab,"for the largest of companies (25,000 or more employees), what was the r&d intensity?",[3.4],104_54_nsf19316-tab002,"[[""104_54_nsf19316-tab002"", 14, 7]]"
edcc5c352fa8d7bd0a7eb31000f80448,lookup,hitab_lookup,hitab,what was the number of appearances made by ken thomson for stoke totally?,[278.0],173_totto20591-3,"[[""173_totto20591-3"", 14, 1]]"
fa6a5f6fb978f41aed659c12ff7997f4,lookup,hitab_lookup,hitab,what is the percentage of male deaths was caused by suicide?,[17.0],2749,"[[""2749"", 12, 1]]"
953e59292060d3048fec7539dbce8487,lookup,hitab_lookup,hitab,"what the percentage of women who have been pressured to send, share, or post sexually suggestive or explicit images or messages in the past 12 months of 2018 are?",[3.7],914,"[[""914"", 13, 0]]"
4d5c2edc2d3e3af3518e2a367498f9a8,lookup,hitab_lookup,hitab,"how many league appearances did charlie parke make in his time at sunderland from 1920 to 1929, and moved to carlisle united?",[245.0],204_totto23975-0,"[[""204_totto23975-0"", 14, 1]]"
9da6ac5c0abfce44a3f16a5e0bd0df8b,lookup,hitab_lookup,hitab,what percentage of girls aged 6 to 9 had care in someone else's home?,[28.0],2754,"[[""2754"", 1, 6]]"
c90d59d999ee6aa4668c09c247f61ddd,lookup,hitab_lookup,hitab,"what is the percentage of people with ms experienced ""quite a bit"" or ""extreme."" limitations in job opportunities?",[44.2],1108,"[[""1108"", 33, 0]]"
60d316baf19941a8289fb89c8eec5f74,lookup,hitab_lookup,hitab,how many percentage points does intra-provincial trade fall due to rudeuced border costs?,[46.1],2558,"[[""2558"", 0, 3]]"
01ca3e3f73380048e87e834a387a4d47,lookup,hitab_lookup,hitab,what is the percentage of male refugees who knew english or french to the total population of privately sponsored syrian refugees?,[67.2],247,"[[""247"", 14, 1]]"
37c38d64bac1d2105610ab38f2ec3cff,lookup,hitab_lookup,hitab,"in contrast, what is the percentage of sherbrooke reported relatively large declines of motor vehicle theft in 2015?",[41],2003,"[[""2003"", 6, 9]]"
ece49429b4fab7098c0ec5523c66bfb6,lookup,hitab_lookup,hitab,how many minutes of average daily sedentary time are accumulated?,[595.0],2786,"[[""2786"", 18, 0]]"
fbb807972f0199e65a625f2164567177,lookup,hitab_lookup,hitab,how many people is the electricity consumption in 2017?,[12632.0],583_totto66907-3,"[[""583_totto66907-3"", 0, 13]]"
755aa7865b5187e0390c906e34d35537,lookup,hitab_lookup,hitab,what was the proportion of accused for sexual assault of males accused of having committed an offence when aged 12 to 15 years old?,[61.0],1916,"[[""1916"", 4, 1]]"
f3affd0711de1fa0474a801f99765587,lookup,hitab_lookup,hitab,how many million dollars did federal agencies project a 2% increase in fy 2017?,[145408.0],192_90_tab1,"[[""192_90_tab1"", 0, 4]]"
36bd97ea6b2a7aec51d6cd912d4b603d,lookup,hitab_lookup,hitab,what was the median age of university professors and lecturers in 1996?,[49.1],2314,"[[""2314"", 11, 2]]"
4c21d01db20a0f17c81ce34a4c7ab317,lookup,hitab_lookup,hitab,"according to the proposed 2018-base mbm, what is the poverty rate in 2015?",[14.5],675,"[[""675"", 1, 4]]"
7383721bf1f78a4e05a8a7bfe90f252e,lookup,hitab_lookup,hitab,"in 2016, how many percentage points of capital goods exports were destined for the united states?",[72.5],1539,"[[""1539"", 14, 5]]"
fb9d1aab0af9cb6d1bcbbe3869dd64f0,lookup,hitab_lookup,hitab,"in 2018, how many million dollars of total u.s. r&d expenditures did basic research activities account for?",[101123.0],64_2_nsf21324-tab002,"[[""64_2_nsf21324-tab002"", 9, 0]]"
1d54db9f301f7f8e5369d45661c46d69,lookup,hitab_lookup,hitab,what is the average number of children aged 0 to 14 of couples with children among syrian government-assisted refugees?,[3.2],247,"[[""247"", 6, 0]]"
8530727ca6e8b31bc5299f779bed5b02,lookup,hitab_lookup,hitab,"in alberta, what was the percent of all foster children aged 14 and under were aboriginal children?",[73.4],1335,"[[""1335"", 9, 2]]"
1fd516dc7ee6dd8531eb5c742e38a6b5,lookup,hitab_lookup,hitab,what was the proportion of reported marijuana use at ages 25 to 44?,[15.6],478,"[[""478"", 4, 1]]"
7c1faea02da50e0d14a0e7516a158e31,lookup,hitab_lookup,hitab,how many percentage points of imports in capital goods were originated from germany in 2016?,[3.6],1539,"[[""1539"", 6, 5]]"
76623f5cb640fd8d101af12bf0bad093,lookup,hitab_lookup,hitab,what was the percentage of female university graduates with student debt that had dependent children?,[27.0],2301,"[[""2301"", 2, 1]]"
cd4a5ee72c732d4245b1c2ffdb5f3157,lookup,hitab_lookup,hitab,what is the percentage of women who were 15 years of age and older-reported that they had been a victim of sexual assault at least once since the age of 15 in 2018?,[30.2],919,"[[""919"", 5, 1]]"
5dc702dd5eead859ae6e6de538d20833,lookup,hitab_lookup,hitab,how many percentage points did impaired driving cases resulted in a finding of guilt?,[79.0],2540,"[[""2540"", 31, 1]]"
